Compound Name, 14 01a, 14 02a, 14 03a, 14 04a, 14 05a, 14 06a, 14 07a, 14 08a, 14 09a, 14 10a, 14 11a, 14 12a, 14 13a, 14 14a, 14 15a, 14 16a, 14 17a, 14 18a, 14 19a, 14 20a, 14 21a, 14 22a, 14 23a, 14 24a, 14 25a, 14 26a, 14 27a, 14 28a, 14 29a, 14 30a, 14 31a, 14 32a, 14 33a, 14 34a, 14 36a, 14 01b, 14 02b, 14 03b, 14 04b, 14 05b, 14 06b, 14 07b, 14 08b, 14 09b, 14 10b, 14 11b, 14 12b, 14 13b, 14 14b, 14 15b, 14 16b, 14 17b, 14 18b, 14 19b, 14 20b, 14 21b, 14 22b, 14 23b, 14 24b, 14 25b, 14 26b, 14 27b, 14 28b, 14 29b, 14 30b, 14 31b, 14 32b, 14 33b, 14 34b, 14 36b, 14 01c, 14 02c, 14 03c, 14 04c, 14 05c, 14 06c, 14 07c, 14 08c, 14 09c, 14 10c, 14 11c, 14 12c, 14 13c, 14 14c, 14 15c, 14 16c, 14 17c, 14 18c, 14 19c, 14 20c, 14 21c, 14 22c, 14 23c, 14 24c, 14 25c, 14 26c, 14 27c, 14 28c, 14 29c, 14 30c, 14 31c, 14 32c, 14 33c, 14 34c, 14 36c
659_1.626_174.0101,600,600,600,91076.84,11365.5,10413.24,35817.13,67153.09,23562.71,33098,146503.4,54547.58,28017.92,600,43983.44,600,600,23875.88,600,48762.16,600,24059.81,25013.92,600,600,79019.09,600,22338.23,30341.82,109389.8,56000.08,42483.98,26067.47,600,600,600,600,600,91076.84,11365.5,10413.24,35817.13,67153.09,23562.71,33098,146503.4,54547.58,28017.92,600,43983.44,600,600,23875.88,600,48762.16,600,24059.81,25013.92,600,600,79019.09,600,22338.23,30341.82,109389.8,56000.08,42483.98,26067.47,600,600,600,600,600,91076.84,11365.5,10413.24,35817.13,67153.09,23562.71,33098,146503.4,54547.58,28017.92,600,43983.44,600,600,23875.88,600,48762.16,600,24059.81,25013.92,600,600,79019.09,600,22338.23,30341.82,109389.8,56000.08,42483.98,26067.47,600,600
660_8.792_176.0473,59018.9,27771.96,23780.37,22593.33,29803.05,24347.44,17111.64,23484.32,23529.2,26567.34,25442.91,29965.86,21282.7,22783.13,24158.16,22290.43,27406.59,24433.69,27130.2,26497.88,27547.81,26824.12,26926.98,29017.63,26983.96,33316.16,44604.46,31600.69,31352.39,36241.26,29335.75,32508.74,28378.95,25569.03,31550.66,59018.9,27771.96,23780.37,22593.33,29803.05,24347.44,17111.64,23484.32,23529.2,26567.34,25442.91,29965.86,21282.7,22783.13,24158.16,22290.43,27406.59,24433.69,27130.2,26497.88,27547.81,26824.12,26926.98,29017.63,26983.96,33316.16,44604.46,31600.69,31352.39,36241.26,29335.75,32508.74,28378.95,25569.03,31550.66,59018.9,27771.96,23780.37,22593.33,29803.05,24347.44,17111.64,23484.32,23529.2,26567.34,25442.91,29965.86,21282.7,22783.13,24158.16,22290.43,27406.59,24433.69,27130.2,26497.88,27547.81,26824.12,26926.98,29017.63,26983.96,33316.16,44604.46,31600.69,31352.39,36241.26,29335.75,32508.74,28378.95,25569.03,31550.66
661_0.821_176.9407,60149.75,600,35037.93,117934.8,26780.52,600,600,600,99676.65,600,84288.41,86023.51,600,61090.52,600,600,57932.79,600,110167.9,89045.82,90935.11,65703.08,600,52204.25,28998.45,600,600,84869.06,600,600,89079.27,600,600,82244.88,88217.16,60149.75,600,35037.93,117934.8,26780.52,600,600,600,99676.65,600,84288.41,86023.51,600,61090.52,600,600,57932.79,600,110167.9,89045.82,90935.11,65703.08,600,52204.25,28998.45,600,600,84869.06,600,600,89079.27,600,600,82244.88,88217.16,60149.75,600,35037.93,117934.8,26780.52,600,600,600,99676.65,600,84288.41,86023.51,600,61090.52,600,600,57932.79,600,110167.9,89045.82,90935.11,65703.08,600,52204.25,28998.45,600,600,84869.06,600,600,89079.27,600,600,82244.88,88217.16
662_1.533_176.941,600,1226673,600,1233869,719803.5,600,779524.1,641656.3,718475.6,811057.8,805226.8,749306,1047052,600,866672.8,602122.4,600,892393.1,600,819525.6,1200666,992316.1,721874.3,600,600,1199377,806564.7,799497,1775529,853401.8,863521.8,1234921,1339608,772026.4,622568.1,600,1226673,600,1233869,719803.5,600,779524.1,641656.3,718475.6,811057.8,805226.8,749306,1047052,600,866672.8,602122.4,600,892393.1,600,819525.6,1200666,992316.1,721874.3,600,600,1199377,806564.7,799497,1775529,853401.8,863521.8,1234921,1339608,772026.4,622568.1,600,1226673,600,1233869,719803.5,600,779524.1,641656.3,718475.6,811057.8,805226.8,749306,1047052,600,866672.8,602122.4,600,892393.1,600,819525.6,1200666,992316.1,721874.3,600,600,1199377,806564.7,799497,1775529,853401.8,863521.8,1234921,1339608,772026.4,622568.1
663_2.81_176.941,51523.4,600,600,600,600,600,106732.5,110983.3,600,600,600,600,118486.4,600,600,600,600,600,31654.82,121037.9,600,600,111110.9,600,600,600,178498,600,600,600,48247.1,129463.1,600,101302.6,126216.6,51523.4,600,600,600,600,600,106732.5,110983.3,600,600,600,600,118486.4,600,600,600,600,600,31654.82,121037.9,600,600,111110.9,600,600,600,178498,600,600,600,48247.1,129463.1,600,101302.6,126216.6,51523.4,600,600,600,600,600,106732.5,110983.3,600,600,600,600,118486.4,600,600,600,600,600,31654.82,121037.9,600,600,111110.9,600,600,600,178498,600,600,600,48247.1,129463.1,600,101302.6,126216.6
664_1.268_176.941,146166.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,173105.2,600,600,600,129771.7,600,600,600,600,600,600,600,600,133879.6,139154.4,600,600,146166.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,173105.2,600,600,600,129771.7,600,600,600,600,600,600,600,600,133879.6,139154.4,600,600,146166.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,173105.2,600,600,600,129771.7,600,600,600,600,600,600,600,600,133879.6,139154.4,600,600
665_0.541_176.941,600,91102.52,600,600,53384.94,600,101473.1,600,600,97167.05,600,600,87043.5,45830.84,600,90515.02,36782.57,600,600,600,600,600,600,25674.06,600,600,78993.18,600,600,600,600,600,600,600,600,600,91102.52,600,600,53384.94,600,101473.1,600,600,97167.05,600,600,87043.5,45830.84,600,90515.02,36782.57,600,600,600,600,600,600,25674.06,600,600,78993.18,600,600,600,600,600,600,600,600,600,91102.52,600,600,53384.94,600,101473.1,600,600,97167.05,600,600,87043.5,45830.84,600,90515.02,36782.57,600,600,600,600,600,600,25674.06,600,600,78993.18,600,600,600,600,600,600,600,600
666_2.316_176.9415,600,600,600,600,600,600,600,600,600,600,6377.314,600,600,600,600,600,600,600,600,355089.1,291727.4,600,600,600,600,600,600,600,289032.9,600,600,600,425509.5,600,600,600,600,600,600,600,600,600,600,600,600,6377.314,600,600,600,600,600,600,600,600,355089.1,291727.4,600,600,600,600,600,600,600,289032.9,600,600,600,425509.5,600,600,600,600,600,600,600,600,600,600,600,600,6377.314,600,600,600,600,600,600,600,600,355089.1,291727.4,600,600,600,600,600,600,600,289032.9,600,600,600,425509.5,600,600
667_1.528_176.9667,600,62076.52,600,94132.97,600,600,600,39492.96,600,600,63248.74,71102.46,600,10606.13,42852.34,600,600,107082.6,600,74410.09,44452.33,89783.14,63709.92,600,9884.916,57419.16,44337.88,600,31037.96,600,71766.39,92022.64,96692.78,600,600,600,62076.52,600,94132.97,600,600,600,39492.96,600,600,63248.74,71102.46,600,10606.13,42852.34,600,600,107082.6,600,74410.09,44452.33,89783.14,63709.92,600,9884.916,57419.16,44337.88,600,31037.96,600,71766.39,92022.64,96692.78,600,600,600,62076.52,600,94132.97,600,600,600,39492.96,600,600,63248.74,71102.46,600,10606.13,42852.34,600,600,107082.6,600,74410.09,44452.33,89783.14,63709.92,600,9884.916,57419.16,44337.88,600,31037.96,600,71766.39,92022.64,96692.78,600,600
668_0.949_178.9735,600,230383.7,124768.1,106566.6,600,600,155009.5,148987.6,139926,213603.5,177450.7,138447.4,162323.7,600,232351.3,164177.3,600,600,600,174664.1,110495.6,136444,107210.2,600,600,136007.8,168668.6,172875.6,600,120120.5,159962.8,57181.77,600,171838.3,169635.8,600,230383.7,124768.1,106566.6,600,600,155009.5,148987.6,139926,213603.5,177450.7,138447.4,162323.7,600,232351.3,164177.3,600,600,600,174664.1,110495.6,136444,107210.2,600,600,136007.8,168668.6,172875.6,600,120120.5,159962.8,57181.77,600,171838.3,169635.8,600,230383.7,124768.1,106566.6,600,600,155009.5,148987.6,139926,213603.5,177450.7,138447.4,162323.7,600,232351.3,164177.3,600,600,600,174664.1,110495.6,136444,107210.2,600,600,136007.8,168668.6,172875.6,600,120120.5,159962.8,57181.77,600,171838.3,169635.8
669_1.615_178.9737,600,600,106612.3,7594.588,214999.7,600,600,600,600,600,600,600,600,390405.3,600,6924.671,600,600,100915.6,600,600,600,600,600,219073.7,600,600,600,94582.62,600,600,600,21563.86,600,600,600,600,106612.3,7594.588,214999.7,600,600,600,600,600,600,600,600,390405.3,600,6924.671,600,600,100915.6,600,600,600,600,600,219073.7,600,600,600,94582.62,600,600,600,21563.86,600,600,600,600,106612.3,7594.588,214999.7,600,600,600,600,600,600,600,600,390405.3,600,6924.671,600,600,100915.6,600,600,600,600,600,219073.7,600,600,600,94582.62,600,600,600,21563.86,600,600
670_0.543_178.9831,600,136482.4,600,141520.3,600,600,70398.35,86021.48,79726.72,118365.5,72021.96,600,133143.2,600,141266.6,92715.41,600,71727.02,600,72743.22,65972.26,65131.58,77996.13,600,10998.39,85207.27,124718.4,123900.4,78399.3,121768.4,70697.38,122813.7,125301.2,81403.92,74843.74,600,136482.4,600,141520.3,600,600,70398.35,86021.48,79726.72,118365.5,72021.96,600,133143.2,600,141266.6,92715.41,600,71727.02,600,72743.22,65972.26,65131.58,77996.13,600,10998.39,85207.27,124718.4,123900.4,78399.3,121768.4,70697.38,122813.7,125301.2,81403.92,74843.74,600,136482.4,600,141520.3,600,600,70398.35,86021.48,79726.72,118365.5,72021.96,600,133143.2,600,141266.6,92715.41,600,71727.02,600,72743.22,65972.26,65131.58,77996.13,600,10998.39,85207.27,124718.4,123900.4,78399.3,121768.4,70697.38,122813.7,125301.2,81403.92,74843.74
671_3.085_179.0815,600,24403,7159.019,600,600,29022.1,600,30313.71,106821.8,600,600,64275.21,600,600,24905.14,54798.13,600,24518.52,600,29904.78,600,43331.95,600,20329.54,20442.44,62636.48,42335.8,26275.23,600,600,600,88985.39,43415.75,49591.33,28909.48,600,24403,7159.019,600,600,29022.1,600,30313.71,106821.8,600,600,64275.21,600,600,24905.14,54798.13,600,24518.52,600,29904.78,600,43331.95,600,20329.54,20442.44,62636.48,42335.8,26275.23,600,600,600,88985.39,43415.75,49591.33,28909.48,600,24403,7159.019,600,600,29022.1,600,30313.71,106821.8,600,600,64275.21,600,600,24905.14,54798.13,600,24518.52,600,29904.78,600,43331.95,600,20329.54,20442.44,62636.48,42335.8,26275.23,600,600,600,88985.39,43415.75,49591.33,28909.48
672_1.718_181.074,7548.472,44093.79,600,57794.67,600,600,600,59442.97,109768.8,600,600,50460.56,600,600,53035.66,103192.2,600,600,600,600,600,65511.18,600,600,600,600,40096.43,600,600,600,600,153698.4,56591.53,94487.49,61628.57,7548.472,44093.79,600,57794.67,600,600,600,59442.97,109768.8,600,600,50460.56,600,600,53035.66,103192.2,600,600,600,600,600,65511.18,600,600,600,600,40096.43,600,600,600,600,153698.4,56591.53,94487.49,61628.57,7548.472,44093.79,600,57794.67,600,600,600,59442.97,109768.8,600,600,50460.56,600,600,53035.66,103192.2,600,600,600,600,600,65511.18,600,600,600,600,40096.43,600,600,600,600,153698.4,56591.53,94487.49,61628.57
673_0.801_181.9093,85170.07,103559.6,121770,209031.3,329649.5,190612.1,121996.4,111659.3,87662.48,151859,148995.8,133682.2,173111.7,119280.3,122862.8,85057.3,83976.75,168200.7,189935.7,169461.8,102671,192340.8,112911.4,114597.3,120138.7,163267,151155.1,134475.5,196231.9,182183.4,156213.3,209034.9,147067.6,66892.12,91883.47,85170.07,103559.6,121770,209031.3,329649.5,190612.1,121996.4,111659.3,87662.48,151859,148995.8,133682.2,173111.7,119280.3,122862.8,85057.3,83976.75,168200.7,189935.7,169461.8,102671,192340.8,112911.4,114597.3,120138.7,163267,151155.1,134475.5,196231.9,182183.4,156213.3,209034.9,147067.6,66892.12,91883.47,85170.07,103559.6,121770,209031.3,329649.5,190612.1,121996.4,111659.3,87662.48,151859,148995.8,133682.2,173111.7,119280.3,122862.8,85057.3,83976.75,168200.7,189935.7,169461.8,102671,192340.8,112911.4,114597.3,120138.7,163267,151155.1,134475.5,196231.9,182183.4,156213.3,209034.9,147067.6,66892.12,91883.47
674_0.761_181.9553,433762.3,555385.8,630916.1,402085.2,506153.6,1073234,468032.8,1138611,600,711266.8,1226847,1211860,996942.8,841707.2,1024693,342080.3,244477.5,695494.1,212514.1,1230145,319258,624518.3,160173,137135.2,879173.1,1271518,1119495,1006095,403250.1,1008762,750337.7,189706.9,252087.5,325329.9,357965.3,433762.3,555385.8,630916.1,402085.2,506153.6,1073234,468032.8,1138611,600,711266.8,1226847,1211860,996942.8,841707.2,1024693,342080.3,244477.5,695494.1,212514.1,1230145,319258,624518.3,160173,137135.2,879173.1,1271518,1119495,1006095,403250.1,1008762,750337.7,189706.9,252087.5,325329.9,357965.3,433762.3,555385.8,630916.1,402085.2,506153.6,1073234,468032.8,1138611,600,711266.8,1226847,1211860,996942.8,841707.2,1024693,342080.3,244477.5,695494.1,212514.1,1230145,319258,624518.3,160173,137135.2,879173.1,1271518,1119495,1006095,403250.1,1008762,750337.7,189706.9,252087.5,325329.9,357965.3
675_6.037_182.071,61627.88,51354.87,80516.7,47470.56,54391.71,33380.56,37639.59,42310.11,46301.91,45936.07,43970.9,75205.61,62804.8,38483.85,42651.57,36850.57,30627.55,42777.72,60114.18,46057.7,45537.5,66871.44,70205.95,37487.82,39638.97,37489.12,75390.15,39771.68,53124.62,46809,86750.62,42489.07,41707.22,40835.28,45299.79,61627.88,51354.87,80516.7,47470.56,54391.71,33380.56,37639.59,42310.11,46301.91,45936.07,43970.9,75205.61,62804.8,38483.85,42651.57,36850.57,30627.55,42777.72,60114.18,46057.7,45537.5,66871.44,70205.95,37487.82,39638.97,37489.12,75390.15,39771.68,53124.62,46809,86750.62,42489.07,41707.22,40835.28,45299.79,61627.88,51354.87,80516.7,47470.56,54391.71,33380.56,37639.59,42310.11,46301.91,45936.07,43970.9,75205.61,62804.8,38483.85,42651.57,36850.57,30627.55,42777.72,60114.18,46057.7,45537.5,66871.44,70205.95,37487.82,39638.97,37489.12,75390.15,39771.68,53124.62,46809,86750.62,42489.07,41707.22,40835.28,45299.79
676_3.865_182.0921,56840.05,43529.85,45344.21,43293.78,57107.64,55897.9,61579.37,41429.74,39990.21,50694.51,43130,41709.98,600,64398.06,64881.6,19083.81,58075.64,47869.93,72942.99,41937.94,72323.36,55303.23,59888.66,78310.38,51584.76,600,42298.18,63773.73,78088.14,134048.3,57287.8,92396.36,53219.94,50090.6,56227.16,56840.05,43529.85,45344.21,43293.78,57107.64,55897.9,61579.37,41429.74,39990.21,50694.51,43130,41709.98,600,64398.06,64881.6,19083.81,58075.64,47869.93,72942.99,41937.94,72323.36,55303.23,59888.66,78310.38,51584.76,600,42298.18,63773.73,78088.14,134048.3,57287.8,92396.36,53219.94,50090.6,56227.16,56840.05,43529.85,45344.21,43293.78,57107.64,55897.9,61579.37,41429.74,39990.21,50694.51,43130,41709.98,600,64398.06,64881.6,19083.81,58075.64,47869.93,72942.99,41937.94,72323.36,55303.23,59888.66,78310.38,51584.76,600,42298.18,63773.73,78088.14,134048.3,57287.8,92396.36,53219.94,50090.6,56227.16
677_0.495_183.962,33324.25,18155.54,30882.32,31063.76,30122.7,28509.18,40777.89,21985.48,34487.32,29163.24,23649.91,30626.63,23426.87,35607.55,26316.69,38123.91,22797.09,31525.63,29118.47,13842.88,24048.79,27489.95,26920.33,33541.52,26289.87,26178.45,33276.94,20901.19,17675.54,22381.87,16500.76,30074.32,25835.11,19749.02,25543.73,33324.25,18155.54,30882.32,31063.76,30122.7,28509.18,40777.89,21985.48,34487.32,29163.24,23649.91,30626.63,23426.87,35607.55,26316.69,38123.91,22797.09,31525.63,29118.47,13842.88,24048.79,27489.95,26920.33,33541.52,26289.87,26178.45,33276.94,20901.19,17675.54,22381.87,16500.76,30074.32,25835.11,19749.02,25543.73,33324.25,18155.54,30882.32,31063.76,30122.7,28509.18,40777.89,21985.48,34487.32,29163.24,23649.91,30626.63,23426.87,35607.55,26316.69,38123.91,22797.09,31525.63,29118.47,13842.88,24048.79,27489.95,26920.33,33541.52,26289.87,26178.45,33276.94,20901.19,17675.54,22381.87,16500.76,30074.32,25835.11,19749.02,25543.73
678_5.488_184.1209,11058.28,16869.66,5303.383,34219.15,1826.695,12575.73,3714.216,600,49328.87,600,3657.412,6252.181,600,50193.03,21997.2,2276.911,11588.3,33068.69,5370.986,600,5076.046,4086.5,10201.69,34458.23,600,34481.19,18977.71,22407.25,600,56371.83,9199.739,30317.98,600,19625.84,10371.35,11058.28,16869.66,5303.383,34219.15,1826.695,12575.73,3714.216,600,49328.87,600,3657.412,6252.181,600,50193.03,21997.2,2276.911,11588.3,33068.69,5370.986,600,5076.046,4086.5,10201.69,34458.23,600,34481.19,18977.71,22407.25,600,56371.83,9199.739,30317.98,600,19625.84,10371.35,11058.28,16869.66,5303.383,34219.15,1826.695,12575.73,3714.216,600,49328.87,600,3657.412,6252.181,600,50193.03,21997.2,2276.911,11588.3,33068.69,5370.986,600,5076.046,4086.5,10201.69,34458.23,600,34481.19,18977.71,22407.25,600,56371.83,9199.739,30317.98,600,19625.84,10371.35
679_7.607_184.1465,36946.39,26391.67,25423.84,600,32971.76,29257.79,33073.85,32448.81,29312.78,34027.56,5660.345,35630.38,31793.7,26294.66,33016.84,33439.86,31213.76,25079.26,22608.52,26636.66,6355.044,30167.58,31111.86,36457.11,31017.2,37597.1,32382.26,36127.32,30997.25,600,35018.68,35244.63,26172.76,33553.68,32487.86,36946.39,26391.67,25423.84,600,32971.76,29257.79,33073.85,32448.81,29312.78,34027.56,5660.345,35630.38,31793.7,26294.66,33016.84,33439.86,31213.76,25079.26,22608.52,26636.66,6355.044,30167.58,31111.86,36457.11,31017.2,37597.1,32382.26,36127.32,30997.25,600,35018.68,35244.63,26172.76,33553.68,32487.86,36946.39,26391.67,25423.84,600,32971.76,29257.79,33073.85,32448.81,29312.78,34027.56,5660.345,35630.38,31793.7,26294.66,33016.84,33439.86,31213.76,25079.26,22608.52,26636.66,6355.044,30167.58,31111.86,36457.11,31017.2,37597.1,32382.26,36127.32,30997.25,600,35018.68,35244.63,26172.76,33553.68,32487.86
680_6.041_185.2143,18620.95,9307.668,163748.4,600,101890.8,25456.27,273664.8,43658.82,8060.465,28765.8,3187.49,45586.72,21593.13,22762.62,600,215616.8,83888.74,85422.7,13633.66,15803.42,3881.045,600,6233.136,600,38109.7,9490.445,600,12437.26,600,600,600,600,600,600,10521.14,18620.95,9307.668,163748.4,600,101890.8,25456.27,273664.8,43658.82,8060.465,28765.8,3187.49,45586.72,21593.13,22762.62,600,215616.8,83888.74,85422.7,13633.66,15803.42,3881.045,600,6233.136,600,38109.7,9490.445,600,12437.26,600,600,600,600,600,600,10521.14,18620.95,9307.668,163748.4,600,101890.8,25456.27,273664.8,43658.82,8060.465,28765.8,3187.49,45586.72,21593.13,22762.62,600,215616.8,83888.74,85422.7,13633.66,15803.42,3881.045,600,6233.136,600,38109.7,9490.445,600,12437.26,600,600,600,600,600,600,10521.14
681_1.571_187.0851,600,600,10683.36,31406.55,600,18031.94,600,163706.1,86473.55,600,49482.55,104728.4,36627.81,4863.928,65732.73,135713.7,600,600,600,40571.83,50018.45,113234.9,17939.61,600,600,63138.13,600,600,600,28430.35,4234.165,74979.32,600,187562,181886,600,600,10683.36,31406.55,600,18031.94,600,163706.1,86473.55,600,49482.55,104728.4,36627.81,4863.928,65732.73,135713.7,600,600,600,40571.83,50018.45,113234.9,17939.61,600,600,63138.13,600,600,600,28430.35,4234.165,74979.32,600,187562,181886,600,600,10683.36,31406.55,600,18031.94,600,163706.1,86473.55,600,49482.55,104728.4,36627.81,4863.928,65732.73,135713.7,600,600,600,40571.83,50018.45,113234.9,17939.61,600,600,63138.13,600,600,600,28430.35,4234.165,74979.32,600,187562,181886
682_1.619_187.0866,600,53542.4,600,80307.7,600,600,121917,600,128577.9,600,53302.24,600,66591.23,600,600,600,27868.22,600,5380.605,82770.06,74232.09,600,113461.2,600,600,71420.32,112348.6,46176.2,600,600,600,143332.3,139208.6,600,600,600,53542.4,600,80307.7,600,600,121917,600,128577.9,600,53302.24,600,66591.23,600,600,600,27868.22,600,5380.605,82770.06,74232.09,600,113461.2,600,600,71420.32,112348.6,46176.2,600,600,600,143332.3,139208.6,600,600,600,53542.4,600,80307.7,600,600,121917,600,128577.9,600,53302.24,600,66591.23,600,600,600,27868.22,600,5380.605,82770.06,74232.09,600,113461.2,600,600,71420.32,112348.6,46176.2,600,600,600,143332.3,139208.6,600,600
683_0.874_187.9257,144034.7,107831,97458.84,202810.1,600,32824.34,196786.7,600,132063.5,249860.4,306825.1,600,600,104424.8,175546.1,162125.7,110212.1,600,600,37873.59,106807.2,600,600,600,600,600,131201.2,600,600,600,600,600,600,125422.4,160932.2,144034.7,107831,97458.84,202810.1,600,32824.34,196786.7,600,132063.5,249860.4,306825.1,600,600,104424.8,175546.1,162125.7,110212.1,600,600,37873.59,106807.2,600,600,600,600,600,131201.2,600,600,600,600,600,600,125422.4,160932.2,144034.7,107831,97458.84,202810.1,600,32824.34,196786.7,600,132063.5,249860.4,306825.1,600,600,104424.8,175546.1,162125.7,110212.1,600,600,37873.59,106807.2,600,600,600,600,600,131201.2,600,600,600,600,600,600,125422.4,160932.2
684_7.175_188.1202,51398.99,59646.59,63179.64,61172.21,65806.91,47333.56,65951.25,63010.11,65055.94,65588.73,65231.1,71310.93,59395.76,65281.61,67914.89,54992.11,57712.01,64371.67,69563.35,61553.64,57244.62,58533.3,66098.38,61093.33,62031.32,62585.94,62888.23,61167.45,58875.12,63141.16,64529.77,57034.28,60666.53,42469.23,58650.91,51398.99,59646.59,63179.64,61172.21,65806.91,47333.56,65951.25,63010.11,65055.94,65588.73,65231.1,71310.93,59395.76,65281.61,67914.89,54992.11,57712.01,64371.67,69563.35,61553.64,57244.62,58533.3,66098.38,61093.33,62031.32,62585.94,62888.23,61167.45,58875.12,63141.16,64529.77,57034.28,60666.53,42469.23,58650.91,51398.99,59646.59,63179.64,61172.21,65806.91,47333.56,65951.25,63010.11,65055.94,65588.73,65231.1,71310.93,59395.76,65281.61,67914.89,54992.11,57712.01,64371.67,69563.35,61553.64,57244.62,58533.3,66098.38,61093.33,62031.32,62585.94,62888.23,61167.45,58875.12,63141.16,64529.77,57034.28,60666.53,42469.23,58650.91
685_3.325_191.1308,30862.04,161851.1,63924.11,176870.5,34719.1,600,149907,136889.4,165676,183857.4,165361.3,160010.9,167112.3,30725,183326.2,111548.2,600,79385.98,600,600,157408.3,168439.4,153751.1,600,36295.37,169081.8,152957.4,168402.9,117697,169445.5,186898.3,143125.6,103940.7,150771.4,143731.1,30862.04,161851.1,63924.11,176870.5,34719.1,600,149907,136889.4,165676,183857.4,165361.3,160010.9,167112.3,30725,183326.2,111548.2,600,79385.98,600,600,157408.3,168439.4,153751.1,600,36295.37,169081.8,152957.4,168402.9,117697,169445.5,186898.3,143125.6,103940.7,150771.4,143731.1,30862.04,161851.1,63924.11,176870.5,34719.1,600,149907,136889.4,165676,183857.4,165361.3,160010.9,167112.3,30725,183326.2,111548.2,600,79385.98,600,600,157408.3,168439.4,153751.1,600,36295.37,169081.8,152957.4,168402.9,117697,169445.5,186898.3,143125.6,103940.7,150771.4,143731.1
686_7.957_191.1311,140251,46131.01,51725.41,28943.04,20225.91,88300.07,31160.86,56089.67,46116.91,21718.67,89356.81,30198.94,31074.23,37117.86,12966.08,44473.35,64758.86,19355.79,45372.04,39883.42,41521.7,35571.41,39181.88,36517.07,29769,30980.52,43096.42,17640.25,11512.98,23930.42,17182.3,41385.01,85980.72,72145.73,49740.02,140251,46131.01,51725.41,28943.04,20225.91,88300.07,31160.86,56089.67,46116.91,21718.67,89356.81,30198.94,31074.23,37117.86,12966.08,44473.35,64758.86,19355.79,45372.04,39883.42,41521.7,35571.41,39181.88,36517.07,29769,30980.52,43096.42,17640.25,11512.98,23930.42,17182.3,41385.01,85980.72,72145.73,49740.02,140251,46131.01,51725.41,28943.04,20225.91,88300.07,31160.86,56089.67,46116.91,21718.67,89356.81,30198.94,31074.23,37117.86,12966.08,44473.35,64758.86,19355.79,45372.04,39883.42,41521.7,35571.41,39181.88,36517.07,29769,30980.52,43096.42,17640.25,11512.98,23930.42,17182.3,41385.01,85980.72,72145.73,49740.02
687_0.746_191.9281,430302.3,545481.4,25628.27,1056476,61025.28,657869.1,743085.2,404882.5,548556.3,521480.6,459666.3,674131.6,742583.8,600,534234.9,476150,446753.2,781940.7,1008806,625608.3,563216.7,831886.4,548312.4,594415,443557.1,670830.1,584855.3,620761.9,1418167,622752.4,576934.9,1157013,751704.3,423288.4,61488.08,430302.3,545481.4,25628.27,1056476,61025.28,657869.1,743085.2,404882.5,548556.3,521480.6,459666.3,674131.6,742583.8,600,534234.9,476150,446753.2,781940.7,1008806,625608.3,563216.7,831886.4,548312.4,594415,443557.1,670830.1,584855.3,620761.9,1418167,622752.4,576934.9,1157013,751704.3,423288.4,61488.08,430302.3,545481.4,25628.27,1056476,61025.28,657869.1,743085.2,404882.5,548556.3,521480.6,459666.3,674131.6,742583.8,600,534234.9,476150,446753.2,781940.7,1008806,625608.3,563216.7,831886.4,548312.4,594415,443557.1,670830.1,584855.3,620761.9,1418167,622752.4,576934.9,1157013,751704.3,423288.4,61488.08
688_0.465_191.9282,83663.47,600,502202.3,600,1761353,40539.98,600,600,105706.2,600,600,600,600,62719.54,600,600,27072.32,600,600,228732.9,61926.82,600,600,61121,600,600,75731.17,600,600,600,600,389712.1,600,600,600,83663.47,600,502202.3,600,1761353,40539.98,600,600,105706.2,600,600,600,600,62719.54,600,600,27072.32,600,600,228732.9,61926.82,600,600,61121,600,600,75731.17,600,600,600,600,389712.1,600,600,600,83663.47,600,502202.3,600,1761353,40539.98,600,600,105706.2,600,600,600,600,62719.54,600,600,27072.32,600,600,228732.9,61926.82,600,600,61121,600,600,75731.17,600,600,600,600,389712.1,600,600,600
689_4.375_192.1334,600,600,600,151435.5,600,600,600,600,600,600,244275.7,600,600,600,600,600,600,600,18889.08,600,600,600,600,600,600,600,600,600,259258.8,600,172648.3,600,600,230658.6,600,600,600,600,151435.5,600,600,600,600,600,600,244275.7,600,600,600,600,600,600,600,18889.08,600,600,600,600,600,600,600,600,600,259258.8,600,172648.3,600,600,230658.6,600,600,600,600,151435.5,600,600,600,600,600,600,244275.7,600,600,600,600,600,600,600,18889.08,600,600,600,600,600,600,600,600,600,259258.8,600,172648.3,600,600,230658.6,600
