, 15-01a, 15-02a, 15-03a, 15-04a, 15-05a, 15-06a, 15-07a, 15-08a, 15-09a, 15-10a, 15-11a, 15-12a, 15-13a, 15-14a, 15-15a, 15-16a, 15-17a, 15-18a, 15-19a, 15-20a, 15-21a, 15-22a, 15-23a, 15-24a, 15-25a, 15-26a, 15-27a, 15-28a, 15-29a, 15-30a, 15-31a, 15-32a, 15-33a, 15-34a, 15-36a, 15-01b, 15-02b, 15-03b, 15-04b, 15-05b, 15-06b, 15-07b, 15-08b, 15-09b, 15-10b, 15-11b, 15-12b, 15-13b, 15-14b, 15-15b, 15-16b, 15-17b, 15-18b, 15-19b, 15-20b, 15-21b, 15-22b, 15-23b, 15-24b, 15-25b, 15-26b, 15-27b, 15-28b, 15-29b, 15-30b, 15-31b, 15-32b, 15-33b, 15-34b, 15-36b, 15-01c, 15-02c, 15-03c, 15-04c, 15-05c, 15-06c, 15-07c, 15-08c, 15-09c, 15-10c, 15-11c, 15-12c, 15-13c, 15-14c, 15-15c, 15-16c, 15-17c, 15-18c, 15-19c, 15-20c, 15-21c, 15-22c, 15-23c, 15-24c, 15-25c, 15-26c, 15-27c, 15-28c, 15-29c, 15-30c, 15-31c, 15-32c, 15-33c, 15-34c, 15-36c
321_9.762_110.1206,600,24988.21,600,29943.46,34367.43,600,24523.61,600,600,600,22352.29,26228.76,30125.9,25422.04,600,22051.75,31670.85,22361.16,21421.83,22285.61,23701.24,12804.84,600,22143.91,23024.36,29482.26,23808.69,19518.11,17596.13,21214.69,17045.93,16364.3,24057.04,12968.44,19784.81,600,24988.21,600,29943.46,34367.43,600,24523.61,600,600,600,22352.29,26228.76,30125.9,25422.04,600,22051.75,31670.85,22361.16,21421.83,22285.61,23701.24,12804.84,600,22143.91,23024.36,29482.26,23808.69,19518.11,17596.13,21214.69,17045.93,16364.3,24057.04,12968.44,19784.81,600,24988.21,600,29943.46,34367.43,600,24523.61,600,600,600,22352.29,26228.76,30125.9,25422.04,600,22051.75,31670.85,22361.16,21421.83,22285.61,23701.24,12804.84,600,22143.91,23024.36,29482.26,23808.69,19518.11,17596.13,21214.69,17045.93,16364.3,24057.04,12968.44,19784.81
322_2.982_111.0684,13539.24,17185.75,660494.1,600,600,600,600,600,600,600,600,600,600,436158.1,600,34257.14,16672.62,600,600,7542.797,600,600,448381.1,600,6748.414,600,600,600,600,600,600,600,42273.93,152421.8,11601.69,13539.24,17185.75,660494.1,600,600,600,600,600,600,600,600,600,600,436158.1,600,34257.14,16672.62,600,600,7542.797,600,600,448381.1,600,6748.414,600,600,600,600,600,600,600,42273.93,152421.8,11601.69,13539.24,17185.75,660494.1,600,600,600,600,600,600,600,600,600,600,436158.1,600,34257.14,16672.62,600,600,7542.797,600,600,448381.1,600,6748.414,600,600,600,600,600,600,600,42273.93,152421.8,11601.69
323_4.329_111.0685,302469.7,455252.3,600,600,340934.6,367404.7,343210.2,338180,313596.5,374575.6,416406.7,326595.9,273518.5,18762.49,243564.5,271991.3,495314.6,422751.1,478796.7,288127.1,423201.2,321342.4,12705.98,158209.2,316345.1,477269.3,438002.8,206619.3,259432.5,257322.7,600,304387.9,233339.4,600,17672.46,302469.7,455252.3,600,600,340934.6,367404.7,343210.2,338180,313596.5,374575.6,416406.7,326595.9,273518.5,18762.49,243564.5,271991.3,495314.6,422751.1,478796.7,288127.1,423201.2,321342.4,12705.98,158209.2,316345.1,477269.3,438002.8,206619.3,259432.5,257322.7,600,304387.9,233339.4,600,17672.46,302469.7,455252.3,600,600,340934.6,367404.7,343210.2,338180,313596.5,374575.6,416406.7,326595.9,273518.5,18762.49,243564.5,271991.3,495314.6,422751.1,478796.7,288127.1,423201.2,321342.4,12705.98,158209.2,316345.1,477269.3,438002.8,206619.3,259432.5,257322.7,600,304387.9,233339.4,600,17672.46
324_9.148_112.0523,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,136099.7,600,600,600,58130.77,600,600,600,600,48593.92,600,600,74948.24,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,136099.7,600,600,600,58130.77,600,600,600,600,48593.92,600,600,74948.24,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,136099.7,600,600,600,58130.77,600,600,600,600,48593.92,600,600,74948.24,600,600
325_9.134_112.0523,600,82430.44,37636.88,600,600,600,54811.33,62263.57,600,56089.46,600,600,600,111495.4,600,600,110169.3,43993.92,600,600,600,33231.49,600,85678.09,54530.72,600,600,600,600,47267.07,600,26790.18,69395.15,42212.64,31414.24,600,82430.44,37636.88,600,600,600,54811.33,62263.57,600,56089.46,600,600,600,111495.4,600,600,110169.3,43993.92,600,600,600,33231.49,600,85678.09,54530.72,600,600,600,600,47267.07,600,26790.18,69395.15,42212.64,31414.24,600,82430.44,37636.88,600,600,600,54811.33,62263.57,600,56089.46,600,600,600,111495.4,600,600,110169.3,43993.92,600,600,600,33231.49,600,85678.09,54530.72,600,600,600,600,47267.07,600,26790.18,69395.15,42212.64,31414.24
326_9.278_112.0524,121430.6,600,600,600,600,600,600,600,129532.7,600,600,400608.1,600,600,354639.1,185107.4,600,600,600,600,137098.7,600,344602.1,600,600,366516.3,585107.3,299170.1,600,600,600,600,600,600,600,121430.6,600,600,600,600,600,600,600,129532.7,600,600,400608.1,600,600,354639.1,185107.4,600,600,600,600,137098.7,600,344602.1,600,600,366516.3,585107.3,299170.1,600,600,600,600,600,600,600,121430.6,600,600,600,600,600,600,600,129532.7,600,600,400608.1,600,600,354639.1,185107.4,600,600,600,600,137098.7,600,344602.1,600,600,366516.3,585107.3,299170.1,600,600,600,600,600,600,600
327_10.142_112.0524,600,26492.96,600,19947.39,24561.95,19533.07,21565.39,19141.65,25609.42,18128.5,33111.83,48003,42910.96,22463.21,38542.55,36256.04,16744.13,27280.94,18962.7,16464.47,42425.81,19229.83,39312.11,20915.27,29166.81,36309.32,42302.9,56922.47,39771.66,600,35414.8,600,20825.73,600,600,600,26492.96,600,19947.39,24561.95,19533.07,21565.39,19141.65,25609.42,18128.5,33111.83,48003,42910.96,22463.21,38542.55,36256.04,16744.13,27280.94,18962.7,16464.47,42425.81,19229.83,39312.11,20915.27,29166.81,36309.32,42302.9,56922.47,39771.66,600,35414.8,600,20825.73,600,600,600,26492.96,600,19947.39,24561.95,19533.07,21565.39,19141.65,25609.42,18128.5,33111.83,48003,42910.96,22463.21,38542.55,36256.04,16744.13,27280.94,18962.7,16464.47,42425.81,19229.83,39312.11,20915.27,29166.81,36309.32,42302.9,56922.47,39771.66,600,35414.8,600,20825.73,600,600
328_9.318_112.0525,118437.5,600,600,600,600,600,600,600,600,600,600,372365.8,600,117670.6,353979.4,227572.7,600,600,600,600,600,600,331552.7,600,600,356235.9,562071.8,253088.1,600,600,600,600,600,600,600,118437.5,600,600,600,600,600,600,600,600,600,600,372365.8,600,117670.6,353979.4,227572.7,600,600,600,600,600,600,331552.7,600,600,356235.9,562071.8,253088.1,600,600,600,600,600,600,600,118437.5,600,600,600,600,600,600,600,600,600,600,372365.8,600,117670.6,353979.4,227572.7,600,600,600,600,600,600,331552.7,600,600,356235.9,562071.8,253088.1,600,600,600,600,600,600,600
329_6.641_112.0525,600,600,600,600,600,600,600,600,600,600,600,600,600,600,113503.3,600,600,600,600,600,600,600,600,600,600,109464.8,224676.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,113503.3,600,600,600,600,600,600,600,600,600,600,109464.8,224676.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,113503.3,600,600,600,600,600,600,600,600,600,600,109464.8,224676.1,600,600,600,600,600,600,600,600
330_2.296_112.9565,600,600,600,49757.72,600,600,95823.77,600,53759.43,29084.68,600,600,600,600,19376.1,600,600,39806.13,600,600,600,600,600,136221.3,26897.5,600,600,600,600,600,600,40142.7,47105.01,600,600,600,600,600,49757.72,600,600,95823.77,600,53759.43,29084.68,600,600,600,600,19376.1,600,600,39806.13,600,600,600,600,600,136221.3,26897.5,600,600,600,600,600,600,40142.7,47105.01,600,600,600,600,600,49757.72,600,600,95823.77,600,53759.43,29084.68,600,600,600,600,19376.1,600,600,39806.13,600,600,600,600,600,136221.3,26897.5,600,600,600,600,600,600,40142.7,47105.01,600,600
331_1.941_112.9574,600,32540.79,106035.3,600,600,600,600,600,600,600,27823.51,35279.77,39703.05,600,14764.58,600,600,600,600,18118.23,600,600,600,600,600,37622.22,600,600,600,41709.58,42593.64,600,42031.82,600,600,600,32540.79,106035.3,600,600,600,600,600,600,600,27823.51,35279.77,39703.05,600,14764.58,600,600,600,600,18118.23,600,600,600,600,600,37622.22,600,600,600,41709.58,42593.64,600,42031.82,600,600,600,32540.79,106035.3,600,600,600,600,600,600,600,27823.51,35279.77,39703.05,600,14764.58,600,600,600,600,18118.23,600,600,600,600,600,37622.22,600,600,600,41709.58,42593.64,600,42031.82,600,600
332_1.532_113.0478,116366.8,127393.9,600,141708.2,600,217529,600,173952.5,93785.52,97813.89,231761.8,95379.5,600,600,600,600,600,190744.2,600,600,200006,288144.6,93615.05,253105.4,101308.1,220928.6,126960.8,600,600,600,192314.2,246712.1,600,105987.3,600,116366.8,127393.9,600,141708.2,600,217529,600,173952.5,93785.52,97813.89,231761.8,95379.5,600,600,600,600,600,190744.2,600,600,200006,288144.6,93615.05,253105.4,101308.1,220928.6,126960.8,600,600,600,192314.2,246712.1,600,105987.3,600,116366.8,127393.9,600,141708.2,600,217529,600,173952.5,93785.52,97813.89,231761.8,95379.5,600,600,600,600,600,190744.2,600,600,200006,288144.6,93615.05,253105.4,101308.1,220928.6,126960.8,600,600,600,192314.2,246712.1,600,105987.3,600
333_6.599_113.0603,43749.74,600,600,600,600,600,600,600,600,600,600,600,600,600,600,83336.4,600,600,600,600,600,600,115485.9,600,600,600,180372.7,87181.02,600,600,4308.197,600,600,600,4014.057,43749.74,600,600,600,600,600,600,600,600,600,600,600,600,600,600,83336.4,600,600,600,600,600,600,115485.9,600,600,600,180372.7,87181.02,600,600,4308.197,600,600,600,4014.057,43749.74,600,600,600,600,600,600,600,600,600,600,600,600,600,600,83336.4,600,600,600,600,600,600,115485.9,600,600,600,180372.7,87181.02,600,600,4308.197,600,600,600,4014.057
334_3.873_113.0839,17352.03,466999.7,600,600,600,600,600,600,600,600,600,600,600,600,276955.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,17352.03,466999.7,600,600,600,600,600,600,600,600,600,600,600,600,276955.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,17352.03,466999.7,600,600,600,600,600,600,600,600,600,600,600,600,276955.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
335_3.998_113.084,600,61885.46,600,600,55504.77,600,61056.46,84997.05,67365.29,600,600,600,72799.71,82404.73,59312.24,600,600,600,600,600,600,600,600,600,54136.64,58368.06,53169.68,600,600,600,600,600,96638.05,66492.2,42684.09,600,61885.46,600,600,55504.77,600,61056.46,84997.05,67365.29,600,600,600,72799.71,82404.73,59312.24,600,600,600,600,600,600,600,600,600,54136.64,58368.06,53169.68,600,600,600,600,600,96638.05,66492.2,42684.09,600,61885.46,600,600,55504.77,600,61056.46,84997.05,67365.29,600,600,600,72799.71,82404.73,59312.24,600,600,600,600,600,600,600,600,600,54136.64,58368.06,53169.68,600,600,600,600,600,96638.05,66492.2,42684.09
336_4.022_113.0841,345197.8,600,313068.6,266542.8,235474.9,268818.4,322193.4,193477.2,235852.3,240302.7,203790.5,250743.9,256328.5,172948.7,257159.6,217464,231218.8,273246.8,203084.8,194833.4,190780.8,600,280962.3,284222.1,216279.6,195630.1,211546.1,232913,184873.2,272592,338268.8,600,207201.6,214394.5,178481.9,345197.8,600,313068.6,266542.8,235474.9,268818.4,322193.4,193477.2,235852.3,240302.7,203790.5,250743.9,256328.5,172948.7,257159.6,217464,231218.8,273246.8,203084.8,194833.4,190780.8,600,280962.3,284222.1,216279.6,195630.1,211546.1,232913,184873.2,272592,338268.8,600,207201.6,214394.5,178481.9,345197.8,600,313068.6,266542.8,235474.9,268818.4,322193.4,193477.2,235852.3,240302.7,203790.5,250743.9,256328.5,172948.7,257159.6,217464,231218.8,273246.8,203084.8,194833.4,190780.8,600,280962.3,284222.1,216279.6,195630.1,211546.1,232913,184873.2,272592,338268.8,600,207201.6,214394.5,178481.9
337_3.961_113.0841,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,107977.6,600,138395,600,600,105078.7,600,117037.1,600,600,600,600,138815.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,107977.6,600,138395,600,600,105078.7,600,117037.1,600,600,600,600,138815.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,107977.6,600,138395,600,600,105078.7,600,117037.1,600,600,600,600,138815.7,600,600,600
338_1.581_114.0399,44326.7,44954.37,77266.98,50110.27,69687.49,31336.45,65287.17,27699.57,600,66781.86,39802.75,46750.76,47222.13,64648.34,20775.38,93430.44,67623.67,39770.82,42174.84,47133.21,29520.67,40672.96,49963.57,47236.62,56031.81,62204.44,35196.84,36374.47,21782.33,36532.09,24127.82,22791.75,56378.87,28495.86,46534.64,44326.7,44954.37,77266.98,50110.27,69687.49,31336.45,65287.17,27699.57,600,66781.86,39802.75,46750.76,47222.13,64648.34,20775.38,93430.44,67623.67,39770.82,42174.84,47133.21,29520.67,40672.96,49963.57,47236.62,56031.81,62204.44,35196.84,36374.47,21782.33,36532.09,24127.82,22791.75,56378.87,28495.86,46534.64,44326.7,44954.37,77266.98,50110.27,69687.49,31336.45,65287.17,27699.57,600,66781.86,39802.75,46750.76,47222.13,64648.34,20775.38,93430.44,67623.67,39770.82,42174.84,47133.21,29520.67,40672.96,49963.57,47236.62,56031.81,62204.44,35196.84,36374.47,21782.33,36532.09,24127.82,22791.75,56378.87,28495.86,46534.64
339_4.267_114.0681,66513.44,69553.2,70882.59,76912.04,59722.5,68646.5,63228.64,60199.78,54249.12,51355.64,70790.3,58058.05,54822.5,600,600,70945.64,600,47717.72,51553.62,55341.03,600,39837.63,50855.8,58962.79,40175.22,600,49898.21,600,38218.88,47701.65,55640.13,52711.87,46416.16,44749.43,47835.38,66513.44,69553.2,70882.59,76912.04,59722.5,68646.5,63228.64,60199.78,54249.12,51355.64,70790.3,58058.05,54822.5,600,600,70945.64,600,47717.72,51553.62,55341.03,600,39837.63,50855.8,58962.79,40175.22,600,49898.21,600,38218.88,47701.65,55640.13,52711.87,46416.16,44749.43,47835.38,66513.44,69553.2,70882.59,76912.04,59722.5,68646.5,63228.64,60199.78,54249.12,51355.64,70790.3,58058.05,54822.5,600,600,70945.64,600,47717.72,51553.62,55341.03,600,39837.63,50855.8,58962.79,40175.22,600,49898.21,600,38218.88,47701.65,55640.13,52711.87,46416.16,44749.43,47835.38
340_1.421_115.0637,600,37493.21,46227,600,600,48783.98,39167.22,35488.23,40933.16,600,65728.26,124041.8,70985.23,61058.64,85959.8,38801.05,40226.35,600,600,600,600,62057.19,49859.23,600,600,32663.16,600,85832.93,600,37658.73,87300.73,600,26844.22,39121.61,44985.6,600,37493.21,46227,600,600,48783.98,39167.22,35488.23,40933.16,600,65728.26,124041.8,70985.23,61058.64,85959.8,38801.05,40226.35,600,600,600,600,62057.19,49859.23,600,600,32663.16,600,85832.93,600,37658.73,87300.73,600,26844.22,39121.61,44985.6,600,37493.21,46227,600,600,48783.98,39167.22,35488.23,40933.16,600,65728.26,124041.8,70985.23,61058.64,85959.8,38801.05,40226.35,600,600,600,600,62057.19,49859.23,600,600,32663.16,600,85832.93,600,37658.73,87300.73,600,26844.22,39121.61,44985.6
341__,110840.141,152000.78,194376.57,127022.311,129409.991,148766.93,167683.03,123387.58,95182.281,118137.501,176321.31,228850.61,173029.86,125706.981,106735.181,203177.13,107850.021,87488.541,93728.461,102474.241,29520.672,142567.78,150678.6,106199.411,96207.031,94867.601,85095.051,122207.401,60001.211,121892.47,167068.68,75503.621,129639.25,112366.9,139355.62,110840.141,152000.78,194376.57,127022.311,129409.991,148766.93,167683.03,123387.58,95182.281,118137.501,176321.31,228850.61,173029.86,125706.981,106735.181,203177.13,107850.021,87488.541,93728.461,102474.241,29520.672,142567.78,150678.6,106199.411,96207.031,94867.601,85095.051,122207.401,60001.211,121892.47,167068.68,75503.621,129639.25,112366.9,139355.62,110840.141,152000.78,194376.57,127022.311,129409.991,148766.93,167683.03,123387.58,95182.281,118137.501,176321.31,228850.61,173029.86,125706.981,106735.181,203177.13,107850.021,87488.541,93728.461,102474.241,29520.672,142567.78,150678.6,106199.411,96207.031,94867.601,85095.051,122207.401,60001.211,121892.47,167068.68,75503.621,129639.25,112366.9,139355.62
342_9.348_115.9689,17126.72,18066.19,18120.91,14595.6,16278.39,15613.47,17677.06,11291.77,18857.04,19882.96,24184.65,600,23483.1,15741,16479.94,20107.54,20331.12,20259.2,18364.47,18821.02,15640.11,19378.91,14805.52,20083.71,16905.42,20910.22,17849.79,17948.74,18781.96,16442.94,13751.54,11002.97,600,14364.62,16736.67,17126.72,18066.19,18120.91,14595.6,16278.39,15613.47,17677.06,11291.77,18857.04,19882.96,24184.65,600,23483.1,15741,16479.94,20107.54,20331.12,20259.2,18364.47,18821.02,15640.11,19378.91,14805.52,20083.71,16905.42,20910.22,17849.79,17948.74,18781.96,16442.94,13751.54,11002.97,600,14364.62,16736.67,17126.72,18066.19,18120.91,14595.6,16278.39,15613.47,17677.06,11291.77,18857.04,19882.96,24184.65,600,23483.1,15741,16479.94,20107.54,20331.12,20259.2,18364.47,18821.02,15640.11,19378.91,14805.52,20083.71,16905.42,20910.22,17849.79,17948.74,18781.96,16442.94,13751.54,11002.97,600,14364.62,16736.67
343_6.626_115.969,600,600,600,600,600,600,600,16119,14676.35,15659.95,600,13939.91,600,600,600,14707.33,600,14994.47,15679.04,15609.58,12891.29,15554.76,14146.36,600,13132.45,14139.82,600,600,16207.96,600,600,600,16452.33,600,10700.62,600,600,600,600,600,600,600,16119,14676.35,15659.95,600,13939.91,600,600,600,14707.33,600,14994.47,15679.04,15609.58,12891.29,15554.76,14146.36,600,13132.45,14139.82,600,600,16207.96,600,600,600,16452.33,600,10700.62,600,600,600,600,600,600,600,16119,14676.35,15659.95,600,13939.91,600,600,600,14707.33,600,14994.47,15679.04,15609.58,12891.29,15554.76,14146.36,600,13132.45,14139.82,600,600,16207.96,600,600,600,16452.33,600,10700.62
344_0.558_116.975,600,7577.355,600,600,34712.78,600,13709.05,600,600,34238.55,600,600,25454.33,600,600,600,2845.793,600,600,600,600,600,600,26527.84,600,600,600,600,600,600,600,600,600,600,600,600,7577.355,600,600,34712.78,600,13709.05,600,600,34238.55,600,600,25454.33,600,600,600,2845.793,600,600,600,600,600,600,26527.84,600,600,600,600,600,600,600,600,600,600,600,600,7577.355,600,600,34712.78,600,13709.05,600,600,34238.55,600,600,25454.33,600,600,600,2845.793,600,600,600,600,600,600,26527.84,600,600,600,600,600,600,600,600,600,600,600
345_0.603_116.9765,43227.69,41716.96,600,38459.79,6645.409,40815.07,67885.21,42380.77,38295.38,5775.88,5534.647,22771.65,23971.62,600,28974.8,34652.06,600,6811.548,57453.82,39087.67,600,36880.16,58663.88,15208.31,16454.56,3601.276,45665.09,8384.57,600,24857.59,22870.23,2327.502,31334.58,17197.32,600,43227.69,41716.96,600,38459.79,6645.409,40815.07,67885.21,42380.77,38295.38,5775.88,5534.647,22771.65,23971.62,600,28974.8,34652.06,600,6811.548,57453.82,39087.67,600,36880.16,58663.88,15208.31,16454.56,3601.276,45665.09,8384.57,600,24857.59,22870.23,2327.502,31334.58,17197.32,600,43227.69,41716.96,600,38459.79,6645.409,40815.07,67885.21,42380.77,38295.38,5775.88,5534.647,22771.65,23971.62,600,28974.8,34652.06,600,6811.548,57453.82,39087.67,600,36880.16,58663.88,15208.31,16454.56,3601.276,45665.09,8384.57,600,24857.59,22870.23,2327.502,31334.58,17197.32,600
346_2.744_117.078,600,600,600,600,600,600,600,8783.802,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,699463.8,600,600,600,600,600,600,600,600,600,600,600,600,8783.802,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,699463.8,600,600,600,600,600,600,600,600,600,600,600,600,8783.802,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,699463.8,600,600,600,600,600
347_4.587_117.0787,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
348_1.665_117.0789,600,2119483,2165262,1868995,4038518,600,4689240,2040408,1571849,3469429,1958727,1556740,2281737,600,600,600,2247695,4278021,2446802,2928666,2515277,2490221,1544787,1844310,2475335,2259322,2385740,3748934,1863418,600,2042746,1817958,1293123,600,600,600,2119483,2165262,1868995,4038518,600,4689240,2040408,1571849,3469429,1958727,1556740,2281737,600,600,600,2247695,4278021,2446802,2928666,2515277,2490221,1544787,1844310,2475335,2259322,2385740,3748934,1863418,600,2042746,1817958,1293123,600,600,600,2119483,2165262,1868995,4038518,600,4689240,2040408,1571849,3469429,1958727,1556740,2281737,600,600,600,2247695,4278021,2446802,2928666,2515277,2490221,1544787,1844310,2475335,2259322,2385740,3748934,1863418,600,2042746,1817958,1293123,600,600
349_0.312_117.0789,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,692154.2,600,600,600,736093.1,600,600,600,600,746445.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,692154.2,600,600,600,736093.1,600,600,600,600,746445.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,692154.2,600,600,600,736093.1,600,600,600,600,746445.3,600,600,600,600,600,600,600,600,600,600
350_1.658_117.0789,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
351_0.431_117.079,600,600,1279717,600,600,600,600,600,600,600,600,600,600,600,600,1884383,600,1682669,600,600,600,600,600,600,600,3248743,600,600,1566585,600,600,600,600,600,600,600,600,1279717,600,600,600,600,600,600,600,600,600,600,600,600,1884383,600,1682669,600,600,600,600,600,600,600,3248743,600,600,1566585,600,600,600,600,600,600,600,600,1279717,600,600,600,600,600,600,600,600,600,600,600,600,1884383,600,1682669,600,600,600,600,600,600,600,3248743,600,600,1566585,600,600,600,600,600,600
352_0.581_117.079,600,1110438,600,1774044,1507740,600,600,600,1127589,1255074,1279765,1348790,1793022,600,600,1100251,1630749,600,1402419,843363.3,600,1474971,600,600,600,600,975825.6,813929.6,600,600,1078738,1410873,1040701,600,600,600,1110438,600,1774044,1507740,600,600,600,1127589,1255074,1279765,1348790,1793022,600,600,1100251,1630749,600,1402419,843363.3,600,1474971,600,600,600,600,975825.6,813929.6,600,600,1078738,1410873,1040701,600,600,600,1110438,600,1774044,1507740,600,600,600,1127589,1255074,1279765,1348790,1793022,600,600,1100251,1630749,600,1402419,843363.3,600,1474971,600,600,600,600,975825.6,813929.6,600,600,1078738,1410873,1040701,600,600
353_0.354_117.079,600,600,600,600,600,600,600,600,600,1146648,896910.3,600,967913.6,600,600,600,600,600,1063395,600,600,600,600,600,1130049,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1146648,896910.3,600,967913.6,600,600,600,600,600,1063395,600,600,600,600,600,1130049,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1146648,896910.3,600,967913.6,600,600,600,600,600,1063395,600,600,600,600,600,1130049,600,600,600,600,600,600,600,600,600,600
354_0.606_117.079,400004.3,454481.1,600,600,633473.1,600,600,653656.4,600,600,235573.5,600,600,331189.3,600,600,600,600,600,600,600,600,594137.4,646903,600,600,600,600,600,600,600,600,600,512843.9,600,400004.3,454481.1,600,600,633473.1,600,600,653656.4,600,600,235573.5,600,600,331189.3,600,600,600,600,600,600,600,600,594137.4,646903,600,600,600,600,600,600,600,600,600,512843.9,600,400004.3,454481.1,600,600,633473.1,600,600,653656.4,600,600,235573.5,600,600,331189.3,600,600,600,600,600,600,600,600,594137.4,646903,600,600,600,600,600,600,600,600,600,512843.9,600
355_0.326_117.079,600,502899.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,662351,479475.4,600,600,600,615649.9,600,600,600,506095.8,600,600,600,600,619478.5,600,600,600,600,600,502899.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,662351,479475.4,600,600,600,615649.9,600,600,600,506095.8,600,600,600,600,619478.5,600,600,600,600,600,502899.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,662351,479475.4,600,600,600,615649.9,600,600,600,506095.8,600,600,600,600,619478.5,600,600,600,600
356_2.454_117.079,600,1201352,600,600,600,600,600,600,600,600,600,600,600,600,1176466,600,600,600,600,600,600,600,600,600,600,600,600,437791.8,836618.6,1186259,600,600,600,600,600,600,1201352,600,600,600,600,600,600,600,600,600,600,600,600,1176466,600,600,600,600,600,600,600,600,600,600,600,600,437791.8,836618.6,1186259,600,600,600,600,600,600,1201352,600,600,600,600,600,600,600,600,600,600,600,600,1176466,600,600,600,600,600,600,600,600,600,600,600,600,437791.8,836618.6,1186259,600,600,600,600,600
357_0.56_117.079,376783.3,600,600,600,600,600,600,600,600,600,600,600,600,600,422821.9,600,600,600,391753.8,600,600,600,600,374268.6,499082.6,600,600,600,496709.6,600,600,600,600,600,600,376783.3,600,600,600,600,600,600,600,600,600,600,600,600,600,422821.9,600,600,600,391753.8,600,600,600,600,374268.6,499082.6,600,600,600,496709.6,600,600,600,600,600,600,376783.3,600,600,600,600,600,600,600,600,600,600,600,600,600,422821.9,600,600,600,391753.8,600,600,600,600,374268.6,499082.6,600,600,600,496709.6,600,600,600,600,600,600
358_0.215_117.079,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,356352,600,484227.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,356352,600,484227.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,356352,600,484227.4,600,600,600,600
359_1.587_117.079,877880.3,600,600,600,600,600,600,600,600,600,600,1113103,600,600,600,981205.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,962306.4,877880.3,600,600,600,600,600,600,600,600,600,600,1113103,600,600,600,981205.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,962306.4,877880.3,600,600,600,600,600,600,600,600,600,600,1113103,600,600,600,981205.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,962306.4
