Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
819_5.555_246.1102,1006794,486259.1,600,600,672199.4,1077959,898761.8,600,727437.2,600,1411734,841732.9,600,1378472,1389823,1032921,959791.7,600,600,1582841,600,562725.7,600,142129,600,1243191,1710459,1183386,600,1066520,1250925,858732.3,1096167,1322930,600,789332.8,1284858,1207704,1503335,1450327,330292,1292970,600,600,1413294,1400279,1305143,600,705914.2,600,923492.9,417658.8,1304076,1171417,246198.6,600,1257434,600,1195126,1369057,289107.8,1354088,1377612,599595.6,1395947,1218887,600,1076084,600,600,714728.1,600,876194.8,600,1164635,1185097,600,784706.6,600,600,936046.4,223788,600,600,600,600,884994.9,976733.1,600,600,1017053,600,809949.3,600,956399.4,600,1070939,1026171,1050488,1240986,1207919,174369.3,798093.1,600,662950.6
820_3.258_246.1219,82097.57,600,4205.083,600,600,600,50748.19,119960.5,600,600,95259.05,100718.3,58013.63,111405.5,230405.7,38580.22,54802.31,13152.06,600,600,70152.31,3726.479,86096.68,600,600,600,600,600,600,600,600,600,309661.7,600,176055.1,66452.49,73755.96,77318.3,49454.7,600,600,600,129811.2,95199.03,600,600,600,119045.1,600,147338.2,600,83184.05,600,600,600,600,57890.14,600,600,600,600,87146.58,600,600,600,600,600,600,165020.1,145926.4,600,106492.2,99047.25,600,600,600,600,91033.09,600,600,125734.2,65409.23,600,112704.8,469729.1,123582.1,92881.37,600,20277.35,600,71367.56,66932.98,159340.8,600,2583.171,600,600,600,600,600,51605.6,600,196942.2,211700,195218
821_6.765_246.146,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,9787.112,600,600,32532.09,600,600,600,600,600,600,600,600,600,600,600,600,4934772,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
822_6.541_246.1466,600,145440,138538.8,140288.5,600,600,107303.3,600,103442.8,83565.5,600,600,96192.09,131083.4,146934,142954,600,105804.1,83084.16,133623.4,600,600,41774.43,88164.93,93311.44,60650.47,41122.29,600,111319.2,127645.4,132393.1,118342.3,600,61032.5,600,87747.73,600,600,62447.24,71833.59,81429.33,600,600,137281.8,95712.41,104556.4,109515.5,600,93463.23,111052.5,85269.66,152204.5,113116.5,600,600,119256,600,600,93965.11,147628,113671.3,150994.1,86058.66,104527.8,88521.35,60786.72,79406.82,600,600,102310.9,32347.09,600,44469.58,600,44636.78,600,600,600,600,600,82641.37,100965.8,152172.4,600,124785.3,79508.7,600,97772.73,45847.67,39258.34,91267.29,600,67119.66,600,114695.3,99230.36,600,90720.06,600,600,600,600,51324.83,600,600
823_6.626_246.1467,600,600,600,795115.3,866154.3,836902.6,600,600,600,600,713138.4,600,600,600,742568.4,600,600,600,600,809622.8,600,838145.7,600,600,600,600,600,600,600,824473.8,600,600,756864.1,600,600,600,600,600,600,677303.6,600,669244.6,842079.4,600,118857.4,600,818369.6,600,600,600,672071.6,600,600,573318.2,600,600,600,600,600,581194.4,590886.9,600,627878.9,600,600,600,600,600,600,600,600,600,13893.24,600,600,600,600,600,600,600,600,672729.6,600,600,665939.6,600,600,600,600,600,600,600,634920.7,600,600,644218,751475.1,600,600,600,600,600,600,600,600
824_6.579_246.1468,284205.9,499174.3,600,409031.2,600,437663.7,600,358171.3,600,600,600,308436.1,600,600,432127.3,600,367136,600,419127.7,564951.1,212465,600,600,600,600,600,600,600,600,482522.1,600,600,600,600,600,399986.7,183554.1,279537.8,600,168487.9,487240.3,564355.4,469750.4,600,555424.4,86351.61,485476.1,427089.6,465041.9,93172.86,132363.5,361330.2,600,600,547677.5,466638.8,600,600,95239.8,600,600,600,600,600,489077.1,600,274915.3,162382.3,600,484994.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,438000.8,376040.6,600,600,600,600,131868.6,600,600,600,141694.5,351992.2,600,563690.7,600,600,600,600,600,600,600
825_6.559_246.1468,180423.9,294136.5,256095.1,600,211064.1,600,278027.7,261983.6,196294,172219.8,162385.1,168560.5,240690.9,224634.9,600,290314,235668.5,311677.5,237469.3,600,342145.2,189917.6,600,29918.99,228278.1,600,600,600,600,600,30108.63,176044.8,166472.7,600,228169.7,600,312135.6,159872.6,600,180699.2,600,600,179952,199391.2,600,600,600,250051.7,600,600,600,327031.8,322001.3,204298,192497.9,344015.9,600,270771.6,600,185404.6,600,600,600,600,600,600,192802.1,267278,600,600,600,18280.55,600,600,600,600,600,600,600,600,600,600,207738.4,600,600,245651,600,600,600,600,600,600,324129.4,600,600,600,192179.3,331378.7,600,600,8326.365,600,600,600,600
826_6.679_246.1469,600,600,600,600,600,600,2875112,600,600,600,600,600,1824682,600,600,600,33562.94,2802776,600,600,600,1433317,600,600,1663823,600,600,600,600,600,600,600,1466009,600,1968055,600,600,2076689,600,196791.2,600,2847155,600,35007.88,600,600,600,600,600,600,2718781,2331439,2375354,600,600,600,600,209393.6,600,154736.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
827_6.562_246.1469,70641.2,600,63924.24,600,600,600,600,67500.84,34057.26,39828.15,600,52450.66,600,36954.03,600,62904.04,53784.14,36295.36,600,37914.42,600,600,27900.69,64018.96,600,39565.09,68800.06,600,50183.6,35027.57,78190.64,42994.99,600,41665.57,600,76896.8,70442.77,39938.09,68830.53,59911.45,84898.74,36251.66,600,55588.26,600,600,600,80582.79,45063.68,35442.28,600,64873.26,600,45737.94,600,600,600,77191.76,23208.29,600,600,58324.16,50306.11,75911.77,600,43980.46,600,70188.7,66275.76,66711.41,66889.12,57831.26,600,600,34647.03,53337.82,62806.04,42055.87,66498.45,600,600,60906.59,57292.62,600,600,600,600,78101.03,600,600,600,35661.1,600,42496.34,26035.49,600,600,600,45861.47,67541.23,46954.78,600,600,41660.84,23509.28
828_6.605_246.147,600,897008.3,600,600,1325022,600,1423277,600,600,600,1176674,600,950368,600,600,600,600,1347588,600,600,1021499,600,50751.56,600,904643.2,600,600,600,600,600,600,600,83045.42,600,1030134,600,600,1061742,600,1332540,600,600,600,600,600,600,600,600,600,600,600,600,1213812,1002448,885322.2,600,600,600,600,1136704,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1325123,600,600,600,600,600,600,600,600
829_3.729_248.1162,85450.19,600,105688.1,600,600,600,600,600,600,600,600,70865.7,600,600,600,76355.84,73084.53,600,600,600,22766.02,600,44960.23,38677.2,36080.75,84555.1,600,600,600,600,600,600,600,20276.32,71898.93,600,600,11992.59,600,600,600,78503.15,600,600,600,600,600,72943.64,600,600,90751.97,73452.28,600,30356.38,600,600,600,88527.09,600,600,600,7761.168,600,600,600,600,77381.91,600,99004.81,600,112926.3,103929.6,106482.6,70810.08,600,600,600,600,100948.6,600,600,600,74017.37,75622.95,600,104100.8,86032.02,600,600,600,34827.68,600,88940.26,51989.85,600,79635.59,600,65331.85,600,600,600,89798.34,86274.68,86736.55,600
830_3.909_248.1162,11032.07,59180.95,600,64350.98,600,21462.54,63848.51,55052.67,600,600,28803.26,58004.9,59518.51,55238.53,13394.46,600,600,600,19714.55,63925.22,600,600,57012.3,12431.82,600,600,59041.05,600,600,62860.21,600,600,600,600,600,600,58879.16,55948.27,61148.03,600,17195.29,53864.22,26518.5,6724.372,11766.04,600,15841.15,600,45093.49,600,56059.31,600,5382.578,600,62190.07,40084.27,600,60724.3,36496.73,600,58771.17,46223.3,600,600,48794.01,600,600,600,68957.55,59510.57,600,600,600,61633.26,600,600,600,62058.07,52123.32,600,55260.47,57180.81,600,600,600,600,600,600,600,45568.68,14355.45,52507.57,16731.73,600,49924.32,52670.59,59989.09,75080.3,600,48451.16,10847.22,600,600,19821.98,16409.75
831_4.9_248.1261,452899.8,214789.4,304129.4,255494.8,504789.1,600,265448.7,242427.2,199942,164872,183959.1,174120.5,164468.1,173747.3,251488.6,97111.46,272333.9,600,321708.3,436158.5,280829.9,600,215087.4,170875.3,280074.8,150915.4,515387.7,118424,16237.02,247166.9,209000.5,193454.8,208941.3,130674.6,169716.8,202529.2,210849.4,123695.1,381174.2,401128.3,305608.3,237072.4,262830.9,152006.5,165526.7,600,321990.5,142788.6,112330.5,600,137002.4,109819.2,64984.41,600,127071.3,131317.9,124105.3,117913.9,18490.63,143939.3,266331.6,184856.2,600,143383.1,380983.3,600,187053.7,119996.8,137246.8,199987.1,270284.6,252299.5,455262.3,580866.6,751001.4,638610.6,196351,600,178219.4,600,600,140512.6,600,63473.42,600,83579.3,86821.67,121299.1,95946.72,600,600,324799.2,81079.63,151334.5,107118.4,600,600,600,380907.7,600,453214.7,87742.98,600,600,600
832_4.637_248.1495,600,66815.15,31343.03,61279.95,600,600,23908.53,600,5446.655,600,600,600,600,600,600,600,8947.006,600,82218.95,600,600,130964.1,600,47987.55,79739.95,600,600,16112.88,600,22808.03,600,600,53400.45,125776,600,600,600,600,600,600,600,45682.11,38927.63,600,600,600,20076.25,600,600,600,600,20118.48,54969.93,9635.625,61824.21,76889.64,600,3249.595,34899.01,36548.52,41818.03,66634.11,600,600,28731.98,600,600,13272.61,600,600,600,24198.12,600,600,600,600,100189.5,600,111086.3,600,600,55643.75,73478.98,76916.47,50928.48,76850.3,82716.42,43185.8,68773.98,47414.73,46107.64,600,62850.87,75134.36,600,600,600,600,600,600,600,80442.49,140653.4,52270.38,44230.68
833_3.087_249.1007,600,600,66163.28,600,600,600,600,28957.8,63378.57,1830.03,600,51019.68,600,600,600,54455.03,600,600,85761.5,81211.23,22670.53,91986.69,600,18017.49,77575.38,100409.5,77737.32,11710.3,600,11830.35,600,600,61874.54,86854.61,600,600,58909.98,600,600,600,600,600,600,86007.51,600,600,600,600,600,600,600,600,600,600,95654.16,94753.86,600,107079.5,600,600,83475.06,91544.16,62640.86,600,600,600,70344.45,82637.2,81734.8,600,600,98175.67,58740.22,600,600,600,61850.19,67895.44,73344.17,600,34186.09,600,34559.14,600,600,49213.31,50086.42,600,62717.98,100980.1,62454.04,106730.1,35389.59,85700.21,106188,600,99493.95,22946.12,600,600,21588.55,97729.66,69557.82,35118.12,78098.18
834_0.811_249.8957,94533.25,105499.9,86690.5,120599.3,24240.93,71222.23,64799.92,97323.79,55173.56,62690.36,80509.8,74565.71,66738.41,55870.55,55546.18,44175.72,45065.59,76524.43,48461.59,89463.25,87959.14,107275.7,45682.66,65980.41,94242.03,104394.3,106854.8,54263.49,93699.03,62875.92,52352.24,49296.39,62688.49,82186.74,70706.34,54138.8,54476.97,55601.71,123450.4,4973.622,87226.05,75268.55,82876.57,51108.64,89706.59,83319.02,122803.5,87044.27,61681.63,75231.7,56757.44,54386.8,81544.28,82650.11,97036.89,53456.29,104103.1,56733.57,64036.06,56796.91,96463.17,76495.64,73568.47,86896.45,72856.52,76814.53,75098.59,63989.09,43182.74,58061.63,600,42761.15,81569.36,5754.103,113091.2,74796.84,600,45402.86,64729.49,62891.91,44920.21,66779.66,60888.78,600,54401.32,600,600,67689.62,66581.37,50463.95,139314.2,79710.35,46017.3,600,57111.24,58497.8,106329,75165.39,49903.95,71172.68,69134.67,600,53355.02,46321.76,38695.71
835_0.747_249.9455,600,600,55112.55,600,600,54929.52,57554.12,600,54540.68,69946.36,600,49242.7,600,78248.71,600,42448.62,54719.43,600,600,55920.54,600,40372.74,600,600,48985.91,600,600,35775.1,600,600,57773.9,61582.64,52288.16,35145.56,50850.91,63678.94,50963.09,600,600,9669.172,600,49550.4,600,41606.07,600,600,37155.05,33577.01,46827.42,55941.55,55706.25,42200.89,600,600,600,37680.95,24065.99,43888.4,600,59618.91,31819.98,600,43583.83,29656.72,600,600,600,7590.974,50428.46,600,74816.24,64062.73,600,22580.38,600,34495.37,600,63082.43,600,70371.3,80221.73,55952.66,57519.26,75356.11,73723.48,600,600,38736,600,64996.78,600,33352.11,72852.99,600,40530.65,58123.58,600,48930.68,600,600,41613.3,600,68512.72,67800.29,67282.02
836_3.925_250.1049,600,339339,600,600,600,600,600,600,600,600,587180.3,151151.3,30297.33,600,600,17052.51,600,600,449095.6,600,600,600,26851.92,600,600,600,600,600,600,314602.4,600,600,600,600,600,600,536888.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,129271.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600
837_7.329_250.1548,55882.05,35427.79,20373.45,49500.69,25010.27,29311.7,58131.89,19964.22,13805.41,20604,28506.5,48182.75,44693.2,17541.37,18389.08,22612.29,56465.32,16902.85,55455.22,20248.82,23718.34,61481.98,36137.64,41805.29,54325.91,15475.87,17992.67,31335.82,18284.11,13724.04,18743.86,22360.49,51317.03,26072.87,49677.09,30337.96,20231.09,15274.42,14296.15,15696.76,15388.55,16332.51,18794.13,53210.61,18596.45,35086.76,26380.68,25283.57,23695.04,14344.25,63319.68,18838.69,21092.15,33622.46,45089.26,55433.65,20632.35,17053.21,32062.19,39856.55,18014.35,27597.74,52593.96,53192.88,27301.54,39523.7,48309.71,52561.25,19209.35,15364.42,16118.24,18895.19,24748.73,26356.33,20910.24,600,22833.38,28185.67,27067.23,29160.99,19279.19,27877.32,28152.11,29549.11,17414.53,14522.15,33069.01,29251.84,28509.04,28114.29,22570.35,13907.31,21804.32,30902.09,14728.04,25822.66,22444.75,24282.04,25558.45,12599.82,25315.7,25113.66,33298.74,30751.34,34163.03
838_5.376_250.1779,196588.3,83084.18,56776.51,60530.73,69812.17,47126.2,69941.58,600,71208.66,82288.18,78455.31,76009.14,60842.73,80515.95,85707.53,73358.55,80607.77,600,600,106296.9,600,53696.77,600,600,600,48462.74,45494.7,14198.02,49035.59,29804.75,10154.52,600,48748.75,44572.35,600,600,45058.03,40155.59,600,64445.41,600,55600.96,37223.63,600,43866.5,42135.16,42920.13,44701.82,600,600,600,600,45768.96,600,600,600,600,32405.21,19634.82,600,44314.7,46814.09,600,45909.98,51678.21,600,38554.01,42626.84,600,600,93526.57,80699.05,75543.99,98887.58,107333.7,71594.45,91902.9,600,600,600,600,600,600,82780.36,90314.38,81433.19,81330.98,600,72033.03,600,80733.03,600,600,83469.41,600,83446.73,72977.24,600,71424.8,96020.77,90826,600,74136.06,65674.56,58823.66
839_3.219_251.1026,600,11297.25,600,600,600,600,600,406197,600,600,600,600,2649.689,600,600,25656.75,47959.27,9579.895,12253.13,37311.62,87661.7,600,97131.31,19420.09,600,600,66458.72,26613.66,600,8094.879,600,600,600,600,600,600,600,27116.69,8896.169,600,600,600,426768.3,23659.93,600,177707.5,78729.77,600,600,16120.59,600,8495.068,9735.042,14624.96,20590.44,600,600,600,600,600,600,8675.087,600,600,183923.3,600,600,22446.54,600,600,28889.94,17856.29,600,600,27080.35,39356.05,600,600,600,89555.97,600,600,600,57249.89,600,64369.14,6818.325,600,600,600,195234.5,600,600,600,600,600,36411.66,600,219509.5,432216.4,600,35228.65,600,600,600
840_5.204_252.0977,24862.69,600,63371.2,600,23722.31,31252.29,600,54377.41,47598.89,24687.12,22372.39,600,45615.13,23146.29,69117.95,49326.02,600,600,60890.18,23371.93,600,26037.42,26891.34,24597.21,58615.88,53576.92,74210.63,24271.75,25167,21291.66,22399.54,21314.43,48028.16,68018.93,54792.08,600,22816.74,600,23375.16,23915.59,15817.36,53960.19,600,45382.25,72693.54,600,600,48071.86,600,600,50878.28,21481.66,600,600,22313.97,53459.81,44728.04,50570.6,600,600,36987.67,600,600,600,58274.98,62021.48,41759.64,49157.98,52657.67,66818.3,37198.11,600,600,24911.36,600,600,600,31414,27247.39,600,600,35653.82,600,600,28709.04,23129.54,32099.76,600,29312.11,34482.01,600,36279.99,600,22091.11,39796.88,15759.88,600,600,25153.59,600,26106.09,73723.92,28738.16,21889.18,600
841_3.222_252.1119,44408.58,600,600,77968.75,600,600,600,600,600,600,18043.32,12915.28,600,600,600,55063.55,55829.99,600,600,600,600,600,600,28250.81,86515.54,600,600,12293.76,600,8050.693,600,600,10203.63,75439.33,600,600,600,600,600,600,600,9717.566,600,184587.8,600,600,600,67119.57,600,600,600,34786.91,600,600,600,600,172723.9,92167.26,600,600,600,59909.73,600,600,600,600,108605.2,75220.09,97218.02,600,600,600,600,600,600,600,45289.47,18473.45,600,600,25459.07,47705.97,55862.44,50010.19,600,89186.3,65949.99,600,80017.57,28346.11,600,54647.18,600,47079.14,78109.92,74642.34,12163.03,600,600,600,600,53135.32,46621.6,68593.81,60210.03
842_3.778_252.121,600,600,128845.8,600,600,600,51358.57,49638.24,600,161986.3,17538.2,600,11309.47,41443,600,600,4297.982,600,143867.2,600,101419.4,218105.8,331453.5,246097.3,600,112469.1,93583.17,600,135734.9,600,600,34104.8,270145.3,227674.4,89451.19,600,222958.1,99715.23,47388.84,250953,77632.36,63855.57,54755.65,600,45012.21,72373.22,61350.54,79791.05,43277.32,42471.16,600,62573.77,77215.67,115132.8,600,82286.48,61477.15,100381.4,600,83999.98,65100.37,80027.7,6955.861,49970.6,47974.88,600,80864.15,78050.84,99088.48,600,88772.48,87586.18,91637.51,76164.84,75720.3,71932.94,94392.02,74446.56,6819.281,75278.33,96009.23,70670.98,64718.23,87016.83,600,90123.65,86088.25,67544.76,89686.86,68358.91,279802.2,86998.09,114587,315031.9,73426.13,600,56566.01,53457.27,175096.7,547426,107037.7,134307.4,130964.7,123178.9,126153.2
843_3.259_253.1315,33641.38,600,114580.1,39986.61,600,600,54738.98,14650.77,600,600,65070.12,600,62028.47,47669.25,28777.49,600,65847.33,45600.59,600,94351.88,600,124795.3,600,600,143552.5,98692.73,115319.5,600,600,600,54472.45,13491,50857.9,45366.88,65198.86,600,49479.88,600,32747.17,600,600,58922.02,93961.52,113955.2,600,61938.03,69789.83,68308.97,600,52657.21,74608.7,15735.24,22763.7,600,115809.2,134653.6,100838.8,600,29976.11,600,93424.86,102503.5,45676.32,600,600,600,600,86981.56,86425.76,28678.54,25399.62,600,600,76160.66,25673.54,27431.58,16750.96,16043.72,61760.59,35865.51,86001.34,92699.52,84377.84,42721.22,600,69127.33,5110.878,32394.03,8199.451,117120,600,59980.82,44640.14,600,99023.56,109144.5,46654.61,27697.15,600,28280.42,37850.49,61356.09,83084.89,76352.95,26374.14
844_3.554_254.1265,600,3505.638,600,600,600,600,600,600,56228.81,600,5220.648,600,61385.91,600,600,9617.298,600,600,600,10297.52,600,104068.4,44815.67,600,32985.55,600,71699.91,600,600,46922.8,600,600,68873.33,28756.71,600,7152.923,600,600,600,600,600,600,600,600,600,600,22011.47,97101.88,600,600,81897.97,47385.8,600,600,141065.5,10929.76,600,80593.19,600,60824.34,88916.95,113500.8,72647.88,600,600,600,37040.06,64539.57,12566.79,600,600,11867.34,76012.6,600,600,600,600,26235.23,600,600,600,101236,16848.92,600,600,600,9847.12,600,69405.04,68458.89,600,160072.1,600,600,54904.18,600,600,165384.3,600,600,600,600,600,54698.42,600
845_9.101_254.1882,124742.1,80173.72,107919.4,102643,71973.86,109946.5,105356,83121.88,72761.06,72066.11,104020,87879.92,78041.95,88390.13,115416.3,88724.02,107169.3,112539.2,112639.5,116794.8,81458.07,101043.4,91216.36,97703.71,99057.08,85670.45,111643.8,79287.19,96175.8,92593.03,98542.27,85417.18,118903.6,109806.7,65335.66,66417.88,86864.81,43126.58,103046.9,71186.16,61617.06,70176.75,92458.69,86174.78,96907.51,81352.37,94869.16,83987.92,73086.09,68364.4,85065.62,78363.67,77279.2,60212.78,66827.88,98758.97,87777.14,110152,75614.99,77081.33,80789.39,90894.06,83040.75,71813.54,93236.56,79992.59,95395.34,70136.16,110182.3,94841.83,101675.2,83635.47,61321.91,69506.34,79525.89,76099.41,70724.24,63010.75,84375.53,82860.41,68344.7,90916.16,70701.33,51952.6,84399.73,75853.13,85376.94,85719.3,77046.98,73992.95,59596.55,78123.77,72733.91,81879.2,71792.27,74907.57,50524.59,69666.16,59229.8,72220.42,72660.41,77464.88,86259.38,64858.25,84567.21
846_3.183_255.1579,600,600,600,68175.02,600,600,600,600,600,600,71394.55,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,492127.7,600,600,600,600,600,122990.1,600,600,600,600,600,600,129684.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,611435.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,337211.1,600,600,600,600,600,600,600,103383.3,600,284145.4,382596.9,261268.8
847_0.946_255.8634,600,22831.46,13520.1,600,63183.51,20991.53,600,46407.31,600,32147.44,57857.29,84736.82,72502.51,71874.98,61025.08,600,600,104439.1,600,42765.77,14528.1,108282,18627.05,110531,93754.3,76828.25,600,600,113100.3,24232.87,125426.1,84675.94,126362.3,600,84366.1,600,600,43577.14,104053.2,600,600,104748.8,600,51912.33,75966.19,38198.87,600,53459.32,35955.54,57816.98,600,48997.2,77419.88,19731.9,46976.32,151177.1,69703.93,600,60333.46,23783.91,600,600,58922.69,600,600,42983.32,600,600,107989.4,113418.5,600,600,26059.41,600,600,600,115721,30055.78,600,34572.51,600,600,600,58847.15,600,600,66691.27,73733.96,600,600,600,600,600,85052.63,600,18463.47,600,600,600,600,600,88602.06,600,600,600
848_1.492_255.8636,779011.4,50158.44,796714.8,1060513,34034.06,600,954219,601814.5,548072.4,600,542699.3,599929,571495.1,537035.5,407676.4,744459.8,557943.7,677613.8,1257042,499059,600,678318.3,600,600,760228.1,604843.6,475653.3,600,600,177954.6,650096.9,761849.3,642874.9,1360586,735395.1,600,678154,600,1166011,289082.5,600,572088.4,402880.8,648934.1,585014.6,596665.2,576463.8,802609.7,600,509893.8,538961.6,600,654247.6,314560.9,516569.8,757094.8,883066.2,783305.9,600,600,398928.2,448094.9,459461.3,1120861,460319.5,726129.8,1298010,1148950,530403.8,680124,399006.1,411044.8,301790.3,308312.8,519612.8,443690.8,433210.8,414877.3,460097.3,306982.4,389480.7,390327.6,538589.6,254272.6,271663.2,310028.7,496238.1,696433.4,248060.3,418604.3,371108.6,578176.3,271204.7,611940.9,350826.3,393870.2,600,381594.7,330991.5,347782.3,357342.3,676882.7,329987,357147.6,365080.8
849_1.353_255.8636,600,600,202485.4,186476.8,600,600,199938.6,600,129511.8,600,600,600,600,600,600,176631.5,181719.8,600,178600.5,600,129270.4,600,600,61473.49,600,600,225060.6,600,157246.3,158295.9,600,600,600,270835.9,600,600,155296,600,600,600,600,211108.4,600,178958.1,600,600,600,600,600,600,157169,600,600,158534.1,600,600,600,209433.2,600,600,600,600,600,600,600,600,600,212005.3,600,600,173869.4,600,600,221444.8,600,600,600,600,205050.1,600,600,600,600,600,600,600,225506.3,242327.8,808235.4,600,600,600,600,600,600,600,185603.4,600,187069.5,600,600,600,600,169952.6,178724.8
850_1.422_255.8637,600,600,600,600,107870.3,103465.3,600,600,170779.2,105812.2,600,600,600,600,600,201474,600,600,600,600,203555.9,600,121453.3,105966.4,600,600,600,140243.3,189698.7,105365.9,600,600,600,600,600,121880.8,600,600,600,103151.9,600,600,600,600,600,600,600,600,600,600,600,110032.7,600,130538.3,600,111668.7,600,600,600,110349.3,600,600,600,600,600,600,143728.3,600,600,600,600,600,600,125794.4,600,600,600,600,600,110364.8,600,600,600,600,131901.9,134857.9,600,600,600,600,600,600,600,600,600,600,123927.6,600,600,600,600,600,107119.3,132782.1,600
851_1.711_255.8637,45705.24,114513.9,600,600,59797.02,76232.73,600,600,600,48022.83,600,600,600,600,600,600,600,600,600,600,54610.3,600,47952.67,80551.34,600,600,600,101688.7,600,105110.4,600,600,600,600,600,64651.39,600,61105.28,600,80224.56,104784,600,600,600,600,600,600,600,58706.46,600,600,79526.25,600,113963.4,600,600,600,600,66066.94,42767.98,600,600,600,600,600,600,600,600,600,600,600,70863.49,31014.74,69207.09,52859.73,600,600,600,600,80568.73,44310.69,600,50973.05,51029.48,600,58692.7,600,600,82489.42,600,600,50775.45,600,600,77600.73,101215.4,600,48745.65,600,600,48945.58,600,600,600,600
852_3.252_256.1058,51062.14,600,600,110798.6,600,600,95316.21,600,600,600,600,116774,115992.7,600,600,53142.21,54019.29,600,64525.04,149485.5,600,237366.7,11657.13,600,600,122311.6,76372.18,23921.76,600,600,600,600,46347.51,600,20905.69,21504.03,600,26486.28,600,600,600,600,600,86486.45,600,600,134008.8,150844.2,600,600,600,56191.93,600,600,113064.1,600,600,169257.7,600,600,600,600,103314.1,600,600,600,600,121774.9,46916.41,600,600,600,5965.572,61260.28,600,600,48221.49,59877.6,600,600,89440.92,600,118112.5,600,600,600,150400.4,600,600,600,79450.06,122442.8,44305.17,600,116062.3,53422.87,117744.5,107636,600,600,600,600,600,80567.1,600
853_0.447_256.14,517785.5,28935.41,422450.1,600,600,600,600,309522,600,600,600,438441.8,600,493047.9,600,520958,600,505020.3,600,600,600,600,27728.09,600,600,600,489189.3,600,600,600,600,600,600,600,600,34076.35,434778.3,600,445462.2,43465.69,600,600,600,600,600,467262.8,95978.84,600,45648.66,600,100176.4,57665.14,600,34415.33,468217,600,600,600,39591.25,42759.93,600,600,600,600,497552.1,600,485299.6,486472.5,600,531078.9,600,600,600,600,33647.59,600,131211.4,600,600,600,600,65810.34,62642.03,600,54578.13,600,48277.47,128962.9,600,115686.6,119120,600,600,600,600,600,144418.5,109919.8,47147.24,18687.91,600,36947.53,21125.15,99099.32,600
854_9.453_257.2719,34618.37,27188.6,21446.96,23053.1,37179.54,15825.84,22610.32,15757.19,20551.54,600,600,16664.4,600,600,600,600,13392.88,600,600,600,600,18711.28,18582.11,600,18326.19,19137.18,18191.92,15982.12,20070.79,20012.68,21477.06,17037.21,17142.43,18803.27,18799.86,20285.22,21044.89,17445.65,600,18998.74,34056.8,45512.7,16196.5,18936.23,17936.91,18645.38,600,20539.93,18010.02,20806.5,600,16538.94,16930.99,19713.57,19714.34,16001.48,18450.63,24672.61,17543.47,20799.12,18434.73,18976.21,17373.26,19327.37,15994.26,600,21644.08,16196.26,18375.34,18666.14,180536.1,194690.5,181319.9,167113.1,191219.3,174866.6,191125.1,161783.4,182376.1,184940.3,174905.5,190424.9,156609.8,171225.5,177734.7,191322.2,158086.1,156528.1,174281.6,154860.5,151724.1,15516.92,152025.2,159604.9,150239.8,149727.5,145029.5,155976.2,144504.3,147083.4,148451.5,139611.8,143595.1,140122.3,124397.4
