Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
172_1.761_93.0579,600,600,1043797,1709843,600,600,1142132,600,600,600,875616.8,1271966,600,801454.7,994188.4,869519.9,835413.8,600,600,600,600,1720927,600,600,1099579,999993.1,1014978,600,600,600,1415500,1836498,600,3073552,3103172,600,899356.8,600,2429083,600,600,1014276,2501958,3121256,1738591,2210482,1774537,1847722,600,1013439,2715703,600,1573676,600,2502222,2868206,1435686,2703418,600,600,1561376,1396438,3065992,2491644,998596.6,2604068,2759050,2349681,2957420,2306063,773517.9,600,723491.4,698730.9,673891.6,672558.4,600,600,600,600,600,917067.9,600,600,600,600,1218581,600,600,600,600,600,1179544,600,600,489442.5,600,600,600,600,600,600,600,1001919,600
173_2.739_93.0579,600,600,785888.1,1155409,600,600,600,600,39078.55,600,1500646,600,600,600,884093.5,600,600,600,600,600,600,957674.3,600,600,845748.1,991320.8,600,600,600,600,1646924,600,600,1915653,1127219,90176.25,600,600,901319.8,600,600,600,1912042,600,600,1378106,600,600,600,600,1766509,600,600,600,600,2077247,859296.7,600,600,600,600,791568.1,600,1486474,600,1890879,600,1601076,600,600,740210.6,600,600,958690.8,689161.1,425514.7,722601.4,600,417793.3,780089.9,654552.5,600,600,1175283,600,600,600,793229.9,600,723604.2,600,783832.1,600,481893.2,521715.4,562969.2,704023.4,600,719270.8,600,600,600,600,756808.7,600
174_4.267_93.0579,600,600,600,1075284,600,600,600,1153099,600,600,875446.3,600,600,600,860218.3,554829.9,600,600,600,600,600,658128,600,600,600,850773.5,600,600,600,600,920062.3,1720878,600,2028625,1819064,600,537922.9,600,600,600,600,627691.1,733048.1,1256097,559437.1,1293603,1664939,600,600,742211,1419607,600,600,600,1744390,600,600,1729571,600,600,412966.3,600,1825250,1724331,613354.3,1689875,600,1749561,600,600,562241.1,533574.1,476193.2,600,536979.6,568309.1,600,600,600,600,653869.4,600,600,600,600,600,509913.3,600,474568.3,600,600,302901.6,600,600,406459.3,600,347716.3,600,600,600,600,600,600,600,600
175_9.037_93.0579,600,600,600,600,600,600,479216.3,600,600,600,783245.8,600,600,600,100269.9,600,600,600,468716.2,600,600,593111.4,600,600,721379.8,600,600,600,600,600,600,1011272,600,1614483,1586596,600,600,600,600,600,600,275009.8,610240.6,975988.8,600,600,915773.4,600,600,600,1126923,600,445852.4,600,1238974,600,773961.3,1190200,600,600,604588.2,600,1127958,1193218,600,1099251,1198530,1618523,973121.4,695559.8,361857.1,600,600,600,600,296098.1,600,600,600,600,449078.2,600,600,600,600,600,600,600,600,600,269340.7,600,380160.3,600,600,600,600,600,600,600,600,600,600,600,600
176_5.978_93.0579,600,600,418866.3,600,600,600,468461.8,190863.5,600,223342.6,284205,278547.9,589952,441350.6,375108.3,212265.5,220501.9,600,600,600,194067.7,600,600,600,380324.8,622220.8,315163.4,600,247787.9,600,600,600,257845.1,600,600,600,379686.4,255761,191958,600,600,437340.9,387507.5,257441.8,600,152182,207985.9,385434.8,600,92907.27,600,600,600,600,148946.4,366745,450217.1,600,600,191484.4,600,448979,600,200136.3,393528.6,600,600,175628.5,322658.9,155511,600,600,379372.7,410209.2,445535.3,428818.8,316273.2,291190.4,301719.2,321034.5,399551,278210.1,308667.9,383460.5,332503.8,227432.3,474893.2,600,434697.5,298811.7,434075.9,304979.7,400123,278051.3,317690.5,325698.5,274526.5,307792.7,198770.6,600,244585.7,600,289891.1,197483.6,314393.1
177_0.704_93.0579,600,600,600,600,600,600,600,600,511368.8,195195.4,600,377536.2,348831.5,600,600,600,600,600,600,390559.3,336496.2,600,600,600,330027.7,600,600,600,323285.7,600,600,473652.2,600,600,600,356299.6,600,576235.9,600,523363.3,359476.7,600,600,600,600,600,600,600,600,600,600,439279.4,557358.3,442822.9,600,600,600,600,532391.6,600,600,600,600,600,600,600,600,600,600,600,379774.5,653361.9,600,600,571513.1,436672.8,600,603097.8,376404.6,483382.5,628465,509207.5,600,604431.4,368132.2,449342.8,600,551953.3,388560.6,498516.7,629133.4,555074.9,576261.9,515088.2,495596.7,515333.3,600,600,600,353412.6,589371.1,593479.4,369304.8,600,481003.2
178_9.57_93.0579,600,600,600,410336.9,600,600,600,678338.9,600,600,709509.6,600,351093.8,235329.5,600,600,600,600,600,600,600,600,600,600,600,545619.9,494315.4,600,600,600,352499.5,600,553182.3,748446.4,600,600,600,600,570159.9,600,600,600,595012.1,402457.9,600,697940.6,600,600,600,600,449526.3,600,600,600,473894.4,470818.8,427748.7,600,600,600,600,600,995139.6,724701.1,473873.3,453962.9,600,600,600,600,554406.4,360085,645058.6,293160.7,600,381943.5,667465.7,232203.9,600,602792.6,424242.5,446198.3,600,512421.5,600,600,600,600,600,290486.2,362871.7,600,385511.5,382577.4,600,326359.5,600,600,600,600,600,600,600,600,600
179_2.727_93.0579,600,600,600,600,600,600,600,600,447328.3,600,634254.4,600,381829.1,549982.3,600,600,600,420812.7,600,600532,600,600,600,600,600,600,561216.9,600,149986.4,600,600,600,600,600,600,118523.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,201723.9,600,600,600,600,205623.9,599893.9,600,600,600,600,600,600,600,600,600,600,532911.6,600,582099.2,525762.1,799223.6,437306.9,600,370824.1,415925,600,524542.4,492967.5,600,559731.3,422488.8,366803.8,665932.3,483673.5,627442.3,434627.8,584186.9,401591.4,520119.5,372231.1,405801.8,538857.2,600,368732.5,393448.2,600,465542.4,599208.6,600,600,655854.3
180_0.342_93.0579,600,257458.6,600,600,125811.1,181154.7,600,600,165289.7,428288.2,600,281543.3,600,393935,600,600,600,600,600,600,115443.3,600,236778.2,253429.5,600,600,600,191433,184625.7,278997.8,600,600,600,600,370579.7,174341,600,229018.5,600,332502.5,483625.5,600,609676.6,600,600,600,600,600,200209.6,600,600,600,600,600,600,600,600,600,600,600,512032.8,337138.2,600,494580.5,600,600,600,600,609992.4,600,482217.8,600,600,600,656647.1,438529.7,375504.1,600,174358.9,370267.5,629150.6,410942.4,441510.3,600,373004.3,367568.1,674136.5,506673.4,635578.7,600,600,325616.4,600,476630.4,352686.2,600,423603.9,286022.8,410741.3,376468.2,600,289793.3,337165.7,378125.3,600
181_3.713_93.0579,600,121361.9,600,600,600,600,600,600,600,600,900948.9,587646.1,600,600,600,600,600,600,600,506985,600,600,600,600,798869.6,646783.2,600,600,600,600,600,600,600,600,600,600,600,600,756714,600,600,600,600,539177.4,600,600,600,895137.7,600,600,1067714,600,600,600,600,600,600,600,600,600,600,675946.3,600,600,600,600,775854.3,600,600,600,567874.7,988113.6,616171.3,455208.6,591987.8,785670.5,600,584058.4,600,600,648282.5,472366.9,600,489452.2,600,240461.8,606723.9,600,839168.9,600,600,600,600,600,600,509112.5,600,317395.9,600,600,334826.8,600,600,600,600
182_0.517_93.0579,600,314516.6,600,600,600,600,600,600,267584.2,600,600,403137.4,600,600,600,600,600,600,600,600,600,600,600,334495.4,600,600,600,600,222402.3,311285.9,600,600,600,600,600,328179.9,600,600,600,600,218979.2,600,600,600,600,600,600,600,600,600,268407.5,600,600,600,600,600,600,600,562753.1,600,600,600,600,600,600,600,600,600,600,600,679437.9,647246.1,651801.1,369437.8,600,417047.2,561083.8,547961.9,250736,487514.2,600,406709.4,404582.7,691119.2,289655.3,332238.9,600,403501.8,600,572995.8,393000.5,276093.9,600,388200.5,493379,619140.3,600,433255,257492.9,422511.5,407796.4,416259.5,537057.6,267248.2,600
