Compound Name, 13 01a, 13 02a, 13 03a, 13 04a, 13 05a, 13 06a, 13 07a, 13 08a, 13 09a, 13 10a, 13 11a, 13 12a, 13 13a, 13 14a, 13 15a, 13 16a, 13 17a, 13 18a, 13 19a, 13 20a, 13 21a, 13 22a, 13 23a, 13 24a, 13 25a, 13 26a, 13 27a, 13 28a, 13 29a, 13 30a, 13 31a, 13 32a, 13 33a, 13 34a, 13 36a, 13 01b, 13 02b, 13 03b, 13 04b, 13 05b, 13 06b, 13 07b, 13 08b, 13 09b, 13 10b, 13 11b, 13 12b, 13 13b, 13 14b, 13 15b, 13 16b, 13 17b, 13 18b, 13 19b, 13 20b, 13 21b, 13 22b, 13 23b, 13 24b, 13 25b, 13 26b, 13 27b, 13 28b, 13 29b, 13 30b, 13 31b, 13 32b, 13 33b, 13 34b, 13 36b, 13 01c, 13 02c, 13 03c, 13 04c, 13 05c, 13 06c, 13 07c, 13 08c, 13 09c, 13 10c, 13 11c, 13 12c, 13 13c, 13 14c, 13 15c, 13 16c, 13 17c, 13 18c, 13 19c, 13 20c, 13 21c, 13 22c, 13 23c, 13 24c, 13 25c, 13 26c, 13 27c, 13 28c, 13 29c, 13 30c, 13 31c, 13 32c, 13 33c, 13 34c, 13 36c
18_4.381_79.0422,1050235,600,600,600,600,260222.4,1494342,250267.1,286839.8,288716.1,392761,600,921063.8,600,311338,575362.9,750189.8,600,1147792,329812.1,270613.9,600,600,234544,807899.9,223798.2,1419831,268625.5,600,600,600,1177125,946760.2,600,600,1050235,600,600,600,600,260222.4,1494342,250267.1,286839.8,288716.1,392761,600,921063.8,600,311338,575362.9,750189.8,600,1147792,329812.1,270613.9,600,600,234544,807899.9,223798.2,1419831,268625.5,600,600,600,1177125,946760.2,600,600,1050235,600,600,600,600,260222.4,1494342,250267.1,286839.8,288716.1,392761,600,921063.8,600,311338,575362.9,750189.8,600,1147792,329812.1,270613.9,600,600,234544,807899.9,223798.2,1419831,268625.5,600,600,600,1177125,946760.2,600,600
19_5.474_79.0422,600,600,600,996758.6,600,600,1002547,600,608885.8,600,600,1371018,614802.4,320565.1,970762.3,600,472752.5,600,600,600,600,600,600,600,994214.3,1363885,1258076,600,600,600,600,600,600,600,600,600,600,600,996758.6,600,600,1002547,600,608885.8,600,600,1371018,614802.4,320565.1,970762.3,600,472752.5,600,600,600,600,600,600,600,994214.3,1363885,1258076,600,600,600,600,600,600,600,600,600,600,600,996758.6,600,600,1002547,600,608885.8,600,600,1371018,614802.4,320565.1,970762.3,600,472752.5,600,600,600,600,600,600,600,994214.3,1363885,1258076,600,600,600,600,600,600,600,600
20_0.632_79.0422,600,600,600,600,714810.9,600,600,692329.9,600,600,852609.3,600,600,600,600,600,759362,600,600,831086.1,600,600,672271.7,600,600,600,600,767622.1,707916.2,600,600,600,600,600,600,600,600,600,600,714810.9,600,600,692329.9,600,600,852609.3,600,600,600,600,600,759362,600,600,831086.1,600,600,672271.7,600,600,600,600,767622.1,707916.2,600,600,600,600,600,600,600,600,600,600,714810.9,600,600,692329.9,600,600,852609.3,600,600,600,600,600,759362,600,600,831086.1,600,600,672271.7,600,600,600,600,767622.1,707916.2,600,600,600,600,600,600
21_8.122_79.0422,676773.1,600,600,1053527,237439.6,600,600,600,599999.1,600,719545.4,1298409,909229,600,600,600,174294.8,1145127,600,600,600,600,600,600,600,867285.2,1265045,600,600,136349.5,940154,600,600,600,868040.6,676773.1,600,600,1053527,237439.6,600,600,600,599999.1,600,719545.4,1298409,909229,600,600,600,174294.8,1145127,600,600,600,600,600,600,600,867285.2,1265045,600,600,136349.5,940154,600,600,600,868040.6,676773.1,600,600,1053527,237439.6,600,600,600,599999.1,600,719545.4,1298409,909229,600,600,600,174294.8,1145127,600,600,600,600,600,600,600,867285.2,1265045,600,600,136349.5,940154,600,600,600,868040.6
22_5.69_79.0422,600,238454.2,600,600,261582.5,124645.2,86028.16,179281,528949.1,270886.1,273115.7,600,379036.4,376736.8,600,848863.6,600,600,622391.8,842599.3,228455.2,600,99523.88,103250.1,600,600,969596.5,144923.9,212502.5,192689.8,903115.3,806077.5,659027.1,626588.3,925499.8,600,238454.2,600,600,261582.5,124645.2,86028.16,179281,528949.1,270886.1,273115.7,600,379036.4,376736.8,600,848863.6,600,600,622391.8,842599.3,228455.2,600,99523.88,103250.1,600,600,969596.5,144923.9,212502.5,192689.8,903115.3,806077.5,659027.1,626588.3,925499.8,600,238454.2,600,600,261582.5,124645.2,86028.16,179281,528949.1,270886.1,273115.7,600,379036.4,376736.8,600,848863.6,600,600,622391.8,842599.3,228455.2,600,99523.88,103250.1,600,600,969596.5,144923.9,212502.5,192689.8,903115.3,806077.5,659027.1,626588.3,925499.8
23_9.541_79.0422,600,600,405767.5,600,600,600,477510.8,600,600,600,600,644247.8,473456.8,481098.8,399714.8,600,600,600,600,600,600,600,600,600,552621.1,600,600,600,600,600,600,451948.9,561193.1,485553.8,600,600,600,405767.5,600,600,600,477510.8,600,600,600,600,644247.8,473456.8,481098.8,399714.8,600,600,600,600,600,600,600,600,600,552621.1,600,600,600,600,600,600,451948.9,561193.1,485553.8,600,600,600,405767.5,600,600,600,477510.8,600,600,600,600,644247.8,473456.8,481098.8,399714.8,600,600,600,600,600,600,600,600,600,552621.1,600,600,600,600,600,600,451948.9,561193.1,485553.8,600
24_9.645_79.0422,600,600,600,600,600,600,600,770849.7,723510.9,600,881750.2,979924.9,600,600,600,600,600,892134.3,600,773946.8,600,600,217480.1,600,829818.5,1282600,600,600,600,600,986519.7,2233500,276401,600,600,600,600,600,600,600,600,600,770849.7,723510.9,600,881750.2,979924.9,600,600,600,600,600,892134.3,600,773946.8,600,600,217480.1,600,829818.5,1282600,600,600,600,600,986519.7,2233500,276401,600,600,600,600,600,600,600,600,600,770849.7,723510.9,600,881750.2,979924.9,600,600,600,600,600,892134.3,600,773946.8,600,600,217480.1,600,829818.5,1282600,600,600,600,600,986519.7,2233500,276401,600,600
25_0.233_79.0422,351417.2,520374.8,600,600,600,600,600,600,625472.3,600,815936.7,600,724916.9,600,600,600,600,1038054,600,600,600,600,600,454238.3,600,600,600,600,666159.2,409487.1,950984.3,600,600,600,453098,351417.2,520374.8,600,600,600,600,600,600,625472.3,600,815936.7,600,724916.9,600,600,600,600,1038054,600,600,600,600,600,454238.3,600,600,600,600,666159.2,409487.1,950984.3,600,600,600,453098,351417.2,520374.8,600,600,600,600,600,600,625472.3,600,815936.7,600,724916.9,600,600,600,600,1038054,600,600,600,600,600,454238.3,600,600,600,600,666159.2,409487.1,950984.3,600,600,600,453098
26_9.423_79.0422,279973.2,600,600,296493.8,263795.5,600,600,274391.3,600,600,269154.6,600,339455.3,356318.4,600,350122.4,600,332225.4,600,241022.8,600,321908.6,356999.6,324729.3,600,600,340438.5,339178.7,600,348946,600,600,600,600,264951.3,279973.2,600,600,296493.8,263795.5,600,600,274391.3,600,600,269154.6,600,339455.3,356318.4,600,350122.4,600,332225.4,600,241022.8,600,321908.6,356999.6,324729.3,600,600,340438.5,339178.7,600,348946,600,600,600,600,264951.3,279973.2,600,600,296493.8,263795.5,600,600,274391.3,600,600,269154.6,600,339455.3,356318.4,600,350122.4,600,332225.4,600,241022.8,600,321908.6,356999.6,324729.3,600,600,340438.5,339178.7,600,348946,600,600,600,600,264951.3
27_0.363_79.0422,600,448227.3,600,600,600,151211.7,600,600,600,600,600,600,565300.8,600,600,600,592947.1,600,600,600,600,600,600,362104.9,600,600,600,600,506588.4,477467.1,600,500065.8,600,600,657921.8,600,448227.3,600,600,600,151211.7,600,600,600,600,600,600,565300.8,600,600,600,592947.1,600,600,600,600,600,600,362104.9,600,600,600,600,506588.4,477467.1,600,500065.8,600,600,657921.8,600,448227.3,600,600,600,151211.7,600,600,600,600,600,600,565300.8,600,600,600,592947.1,600,600,600,600,600,600,362104.9,600,600,600,600,506588.4,477467.1,600,500065.8,600,600,657921.8
