Compound Name, 13 01a, 13 02a, 13 03a, 13 04a, 13 05a, 13 06a, 13 07a, 13 08a, 13 09a, 13 10a, 13 11a, 13 12a, 13 13a, 13 14a, 13 15a, 13 16a, 13 17a, 13 18a, 13 19a, 13 20a, 13 21a, 13 22a, 13 23a, 13 24a, 13 25a, 13 26a, 13 27a, 13 28a, 13 29a, 13 30a, 13 31a, 13 32a, 13 33a, 13 34a, 13 36a, 13 01b, 13 02b, 13 03b, 13 04b, 13 05b, 13 06b, 13 07b, 13 08b, 13 09b, 13 10b, 13 11b, 13 12b, 13 13b, 13 14b, 13 15b, 13 16b, 13 17b, 13 18b, 13 19b, 13 20b, 13 21b, 13 22b, 13 23b, 13 24b, 13 25b, 13 26b, 13 27b, 13 28b, 13 29b, 13 30b, 13 31b, 13 32b, 13 33b, 13 34b, 13 36b, 13 01c, 13 02c, 13 03c, 13 04c, 13 05c, 13 06c, 13 07c, 13 08c, 13 09c, 13 10c, 13 11c, 13 12c, 13 13c, 13 14c, 13 15c, 13 16c, 13 17c, 13 18c, 13 19c, 13 20c, 13 21c, 13 22c, 13 23c, 13 24c, 13 25c, 13 26c, 13 27c, 13 28c, 13 29c, 13 30c, 13 31c, 13 32c, 13 33c, 13 34c, 13 36c
1275_6.086_542.2337,83060.87,600,87032.21,600,600,600,600,600,600,36653.21,600,81764.45,600,600,235571.7,600,600,600,78163.76,139994.2,600,600,600,33448.21,600,600,228905.5,600,600,600,600,600,146660,600,600,83060.87,600,87032.21,600,600,600,600,600,600,36653.21,600,81764.45,600,600,235571.7,600,600,600,78163.76,139994.2,600,600,600,33448.21,600,600,228905.5,600,600,600,600,600,146660,600,600,83060.87,600,87032.21,600,600,600,600,600,600,36653.21,600,81764.45,600,600,235571.7,600,600,600,78163.76,139994.2,600,600,600,33448.21,600,600,228905.5,600,600,600,600,600,146660,600,600
1276_5.96_543.2401,600,600,600,600,600,25237.79,153622.4,176652.3,181113.4,5396.027,600,107163.9,241734.1,600,600,194458.8,197466.8,109280.6,600,600,61410.3,126621.1,600,145182.8,196966.2,208505.7,600,5005.93,49466.35,23738.54,600,257814.3,600,123925.8,165471.1,600,600,600,600,600,25237.79,153622.4,176652.3,181113.4,5396.027,600,107163.9,241734.1,600,600,194458.8,197466.8,109280.6,600,600,61410.3,126621.1,600,145182.8,196966.2,208505.7,600,5005.93,49466.35,23738.54,600,257814.3,600,123925.8,165471.1,600,600,600,600,600,25237.79,153622.4,176652.3,181113.4,5396.027,600,107163.9,241734.1,600,600,194458.8,197466.8,109280.6,600,600,61410.3,126621.1,600,145182.8,196966.2,208505.7,600,5005.93,49466.35,23738.54,600,257814.3,600,123925.8,165471.1
1277_5.894_544.2508,142149.1,600,144719.4,123866.6,600,32814.08,93736.92,81380.22,600,61512.53,162552,61853.5,600,600,85941.16,150704.3,600,110719.4,171689.5,600,600,155837.3,93970.03,600,117424.6,108966.1,145095.2,57908.31,42047.75,61409.14,113520.6,600,80907.87,147239.3,133309.4,142149.1,600,144719.4,123866.6,600,32814.08,93736.92,81380.22,600,61512.53,162552,61853.5,600,600,85941.16,150704.3,600,110719.4,171689.5,600,600,155837.3,93970.03,600,117424.6,108966.1,145095.2,57908.31,42047.75,61409.14,113520.6,600,80907.87,147239.3,133309.4,142149.1,600,144719.4,123866.6,600,32814.08,93736.92,81380.22,600,61512.53,162552,61853.5,600,600,85941.16,150704.3,600,110719.4,171689.5,600,600,155837.3,93970.03,600,117424.6,108966.1,145095.2,57908.31,42047.75,61409.14,113520.6,600,80907.87,147239.3,133309.4
1278_5.456_546.2301,600,58829.12,600,113868,600,48995.85,70655.11,127280.8,36863.25,600,29399.14,52552.16,78791.18,600,600,102310.7,77471.45,119583.3,81736.02,36124.69,19467.06,26749.45,56627.38,117659.7,108315.2,71866,115406,32309.53,600,70324.16,73475.91,600,600,600,67850.73,600,58829.12,600,113868,600,48995.85,70655.11,127280.8,36863.25,600,29399.14,52552.16,78791.18,600,600,102310.7,77471.45,119583.3,81736.02,36124.69,19467.06,26749.45,56627.38,117659.7,108315.2,71866,115406,32309.53,600,70324.16,73475.91,600,600,600,67850.73,600,58829.12,600,113868,600,48995.85,70655.11,127280.8,36863.25,600,29399.14,52552.16,78791.18,600,600,102310.7,77471.45,119583.3,81736.02,36124.69,19467.06,26749.45,56627.38,117659.7,108315.2,71866,115406,32309.53,600,70324.16,73475.91,600,600,600,67850.73
1279_5.225_546.324,121068.9,600,61177.79,600,600,600,74044.27,82379.83,605487,387682.6,600,68534.6,56697.88,600,49784.41,600,600,600,128203.6,600,296542,600,177662.3,600,600,600,600,600,600,600,46587.75,600,600,600,600,121068.9,600,61177.79,600,600,600,74044.27,82379.83,605487,387682.6,600,68534.6,56697.88,600,49784.41,600,600,600,128203.6,600,296542,600,177662.3,600,600,600,600,600,600,600,46587.75,600,600,600,600,121068.9,600,61177.79,600,600,600,74044.27,82379.83,605487,387682.6,600,68534.6,56697.88,600,49784.41,600,600,600,128203.6,600,296542,600,177662.3,600,600,600,600,600,600,600,46587.75,600,600,600,600
1280_5.632_548.2469,37342.77,600,41477.36,38401.48,600,600,600,27933.6,47032.52,27150.46,600,27651.65,99312.91,46574.61,40325.19,600,72805.27,43495.25,57919.28,9874.323,600,48196.88,600,70370.05,600,37980.12,47597.49,600,600,62752.75,57058.27,47477.32,44972.09,53110.8,43976.5,37342.77,600,41477.36,38401.48,600,600,600,27933.6,47032.52,27150.46,600,27651.65,99312.91,46574.61,40325.19,600,72805.27,43495.25,57919.28,9874.323,600,48196.88,600,70370.05,600,37980.12,47597.49,600,600,62752.75,57058.27,47477.32,44972.09,53110.8,43976.5,37342.77,600,41477.36,38401.48,600,600,600,27933.6,47032.52,27150.46,600,27651.65,99312.91,46574.61,40325.19,600,72805.27,43495.25,57919.28,9874.323,600,48196.88,600,70370.05,600,37980.12,47597.49,600,600,62752.75,57058.27,47477.32,44972.09,53110.8,43976.5
1281_5.061_549.1945,13137.59,15393.29,33619.39,32341.29,600,21591.04,18710.03,25615.95,20082.98,13365.12,46026.59,21587.73,52935.43,43686.34,40667.31,45302.6,23868.65,47957.57,29877.11,5477.537,6366.659,46887.77,22786.1,20687.69,42643.75,55517.34,2747.779,17995.46,600,8526.65,37374.38,29733.91,29547.92,47870,37664.34,13137.59,15393.29,33619.39,32341.29,600,21591.04,18710.03,25615.95,20082.98,13365.12,46026.59,21587.73,52935.43,43686.34,40667.31,45302.6,23868.65,47957.57,29877.11,5477.537,6366.659,46887.77,22786.1,20687.69,42643.75,55517.34,2747.779,17995.46,600,8526.65,37374.38,29733.91,29547.92,47870,37664.34,13137.59,15393.29,33619.39,32341.29,600,21591.04,18710.03,25615.95,20082.98,13365.12,46026.59,21587.73,52935.43,43686.34,40667.31,45302.6,23868.65,47957.57,29877.11,5477.537,6366.659,46887.77,22786.1,20687.69,42643.75,55517.34,2747.779,17995.46,600,8526.65,37374.38,29733.91,29547.92,47870,37664.34
1282_6.263_553.24,600,44976.89,30434.82,600,600,33835.3,600,600,600,600,126137.1,34135.89,600,600,163917.1,44346.75,600,87798.24,102329.6,77132.39,600,13574.01,73865.58,286253.7,600,139243.8,123433.3,45251.04,42550.43,600,112784.4,132498.4,600,600,600,600,44976.89,30434.82,600,600,33835.3,600,600,600,600,126137.1,34135.89,600,600,163917.1,44346.75,600,87798.24,102329.6,77132.39,600,13574.01,73865.58,286253.7,600,139243.8,123433.3,45251.04,42550.43,600,112784.4,132498.4,600,600,600,600,44976.89,30434.82,600,600,33835.3,600,600,600,600,126137.1,34135.89,600,600,163917.1,44346.75,600,87798.24,102329.6,77132.39,600,13574.01,73865.58,286253.7,600,139243.8,123433.3,45251.04,42550.43,600,112784.4,132498.4,600,600,600
1283_4.871_554.2571,78725.73,62165.22,60711.74,55995.54,7202.126,31347.35,76813.82,37552.41,70533.87,33307.52,100371.5,52914.7,100356.2,112091,89340.11,600,97969.65,89319.41,101307.8,16015.35,34007.44,88135.58,11110.4,101879.4,95302.27,97065.83,12010.48,70796.6,600,30235.44,95633.62,106035.9,99418.14,92896.97,69403.88,78725.73,62165.22,60711.74,55995.54,7202.126,31347.35,76813.82,37552.41,70533.87,33307.52,100371.5,52914.7,100356.2,112091,89340.11,600,97969.65,89319.41,101307.8,16015.35,34007.44,88135.58,11110.4,101879.4,95302.27,97065.83,12010.48,70796.6,600,30235.44,95633.62,106035.9,99418.14,92896.97,69403.88,78725.73,62165.22,60711.74,55995.54,7202.126,31347.35,76813.82,37552.41,70533.87,33307.52,100371.5,52914.7,100356.2,112091,89340.11,600,97969.65,89319.41,101307.8,16015.35,34007.44,88135.58,11110.4,101879.4,95302.27,97065.83,12010.48,70796.6,600,30235.44,95633.62,106035.9,99418.14,92896.97,69403.88
1284_6.633_554.2603,600,23907.79,28084.67,30395.29,12179.16,93905.11,600,12473.6,64326.25,36792.23,8502.18,26939.54,21946.36,97177.68,15189.33,600,14059.53,19149.01,34997.01,24350.82,21516.62,96680.18,19162.51,20479.89,10580.06,600,600,50232.16,26298.06,600,149125.9,600,16619.87,23494.87,600,600,23907.79,28084.67,30395.29,12179.16,93905.11,600,12473.6,64326.25,36792.23,8502.18,26939.54,21946.36,97177.68,15189.33,600,14059.53,19149.01,34997.01,24350.82,21516.62,96680.18,19162.51,20479.89,10580.06,600,600,50232.16,26298.06,600,149125.9,600,16619.87,23494.87,600,600,23907.79,28084.67,30395.29,12179.16,93905.11,600,12473.6,64326.25,36792.23,8502.18,26939.54,21946.36,97177.68,15189.33,600,14059.53,19149.01,34997.01,24350.82,21516.62,96680.18,19162.51,20479.89,10580.06,600,600,50232.16,26298.06,600,149125.9,600,16619.87,23494.87,600
1285_5.546_558.2286,600,38934.1,59888.41,600,600,600,600,600,600,600,600,600,69441.8,85287.88,61406.84,600,600,63799.35,61815.34,600,600,70535.25,56802.1,29118,88009.52,69284.62,600,600,600,56891.98,76477.91,65060.42,600,61766.78,600,600,38934.1,59888.41,600,600,600,600,600,600,600,600,600,69441.8,85287.88,61406.84,600,600,63799.35,61815.34,600,600,70535.25,56802.1,29118,88009.52,69284.62,600,600,600,56891.98,76477.91,65060.42,600,61766.78,600,600,38934.1,59888.41,600,600,600,600,600,600,600,600,600,69441.8,85287.88,61406.84,600,600,63799.35,61815.34,600,600,70535.25,56802.1,29118,88009.52,69284.62,600,600,600,56891.98,76477.91,65060.42,600,61766.78,600
1286_5.405_558.2289,600,600,600,110850.4,600,50836.96,117194.2,600,600,40510.57,101790.4,600,112685.4,157636.6,111678.8,600,170167,600,99757.64,600,600,110429.1,58030.39,120265.5,24186.38,600,600,600,600,57134.82,109985.3,86097.87,113630.7,67537.49,600,600,600,600,110850.4,600,50836.96,117194.2,600,600,40510.57,101790.4,600,112685.4,157636.6,111678.8,600,170167,600,99757.64,600,600,110429.1,58030.39,120265.5,24186.38,600,600,600,600,57134.82,109985.3,86097.87,113630.7,67537.49,600,600,600,600,110850.4,600,50836.96,117194.2,600,600,40510.57,101790.4,600,112685.4,157636.6,111678.8,600,170167,600,99757.64,600,600,110429.1,58030.39,120265.5,24186.38,600,600,600,600,57134.82,109985.3,86097.87,113630.7,67537.49,600
1287_6.052_558.2674,139735.9,69715.7,93193.37,179673.6,600,600,102998.1,132548.6,128216.6,25547.09,234103.5,112589.7,229292.4,244221.2,236592.2,198856.4,201363.8,190266.8,231923.6,194531.5,173797.1,240237.5,133136.6,201168.4,154534.8,151082.9,235600.3,80542.59,118608.1,142469,79339.02,198146,225013.7,267683.9,148540.4,139735.9,69715.7,93193.37,179673.6,600,600,102998.1,132548.6,128216.6,25547.09,234103.5,112589.7,229292.4,244221.2,236592.2,198856.4,201363.8,190266.8,231923.6,194531.5,173797.1,240237.5,133136.6,201168.4,154534.8,151082.9,235600.3,80542.59,118608.1,142469,79339.02,198146,225013.7,267683.9,148540.4,139735.9,69715.7,93193.37,179673.6,600,600,102998.1,132548.6,128216.6,25547.09,234103.5,112589.7,229292.4,244221.2,236592.2,198856.4,201363.8,190266.8,231923.6,194531.5,173797.1,240237.5,133136.6,201168.4,154534.8,151082.9,235600.3,80542.59,118608.1,142469,79339.02,198146,225013.7,267683.9,148540.4
1288_5.759_560.2457,600,17931.06,600,18827.44,600,21470.68,600,67314.28,600,64014.68,600,65747.3,66710.36,134408.5,600,57804.2,600,49361.99,600,60752.12,37029.8,52377.55,600,74098.27,600,600,62497.56,69379.19,600,600,600,600,600,600,71625.22,600,17931.06,600,18827.44,600,21470.68,600,67314.28,600,64014.68,600,65747.3,66710.36,134408.5,600,57804.2,600,49361.99,600,60752.12,37029.8,52377.55,600,74098.27,600,600,62497.56,69379.19,600,600,600,600,600,600,71625.22,600,17931.06,600,18827.44,600,21470.68,600,67314.28,600,64014.68,600,65747.3,66710.36,134408.5,600,57804.2,600,49361.99,600,60752.12,37029.8,52377.55,600,74098.27,600,600,62497.56,69379.19,600,600,600,600,600,600,71625.22
1289_6.298_560.2468,114555.3,600,83219.35,129096.8,600,31272.49,102478.9,98193.04,600,49685.14,114623.4,72527.97,126442,600,129532.6,600,116375.7,125674.7,111430.5,60637.8,66009.63,105885.7,54069.56,70024.47,110038.6,85776.47,129984.9,35733.99,600,600,115405.4,113884.7,600,113603.3,101533,114555.3,600,83219.35,129096.8,600,31272.49,102478.9,98193.04,600,49685.14,114623.4,72527.97,126442,600,129532.6,600,116375.7,125674.7,111430.5,60637.8,66009.63,105885.7,54069.56,70024.47,110038.6,85776.47,129984.9,35733.99,600,600,115405.4,113884.7,600,113603.3,101533,114555.3,600,83219.35,129096.8,600,31272.49,102478.9,98193.04,600,49685.14,114623.4,72527.97,126442,600,129532.6,600,116375.7,125674.7,111430.5,60637.8,66009.63,105885.7,54069.56,70024.47,110038.6,85776.47,129984.9,35733.99,600,600,115405.4,113884.7,600,113603.3,101533
1290_7.842_560.3395,600,600,600,600,600,600,600,600,3325711,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,3325711,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,3325711,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
1291_5.957_562.2623,600,306769,433087.6,12846.3,331567.8,600,415467.1,341247.5,600,378721.8,16364.09,409260.2,24180.19,599073.8,68924.58,351324.7,423050.9,600,519466.2,563498.6,396680.9,52667.26,16697.58,19147.46,7492.066,456766.9,602908.1,357345.3,531310.2,18724.79,600,573678.1,600,584318.1,383222.9,600,306769,433087.6,12846.3,331567.8,600,415467.1,341247.5,600,378721.8,16364.09,409260.2,24180.19,599073.8,68924.58,351324.7,423050.9,600,519466.2,563498.6,396680.9,52667.26,16697.58,19147.46,7492.066,456766.9,602908.1,357345.3,531310.2,18724.79,600,573678.1,600,584318.1,383222.9,600,306769,433087.6,12846.3,331567.8,600,415467.1,341247.5,600,378721.8,16364.09,409260.2,24180.19,599073.8,68924.58,351324.7,423050.9,600,519466.2,563498.6,396680.9,52667.26,16697.58,19147.46,7492.066,456766.9,602908.1,357345.3,531310.2,18724.79,600,573678.1,600,584318.1,383222.9
1292_5.829_563.2657,600,12469.4,600,14319.95,48557.15,40204.06,600,600,600,10368.98,600,600,102959.6,600,128647,600,25835.25,118971.5,12604.32,600,600,600,600,600,600,600,18184.9,600,34261.73,21101.11,600,600,2157.929,600,2941.736,600,12469.4,600,14319.95,48557.15,40204.06,600,600,600,10368.98,600,600,102959.6,600,128647,600,25835.25,118971.5,12604.32,600,600,600,600,600,600,600,18184.9,600,34261.73,21101.11,600,600,2157.929,600,2941.736,600,12469.4,600,14319.95,48557.15,40204.06,600,600,600,10368.98,600,600,102959.6,600,128647,600,25835.25,118971.5,12604.32,600,600,600,600,600,600,600,18184.9,600,34261.73,21101.11,600,600,2157.929,600,2941.736
1293_5.06_563.3516,118283.7,88636.09,67418.05,71778.55,115094.2,118339.5,79517.8,84071.37,90529.47,431092.1,72613.9,72438.36,51642.45,58571.31,50177.25,59703.43,73659.78,55632.5,124249.9,63796.81,236871.7,37371.57,137503.6,89229.48,38791.4,31195.2,29378,29196.1,112003.5,37172.94,51643.7,60774.58,41015.05,46649.55,600,118283.7,88636.09,67418.05,71778.55,115094.2,118339.5,79517.8,84071.37,90529.47,431092.1,72613.9,72438.36,51642.45,58571.31,50177.25,59703.43,73659.78,55632.5,124249.9,63796.81,236871.7,37371.57,137503.6,89229.48,38791.4,31195.2,29378,29196.1,112003.5,37172.94,51643.7,60774.58,41015.05,46649.55,600,118283.7,88636.09,67418.05,71778.55,115094.2,118339.5,79517.8,84071.37,90529.47,431092.1,72613.9,72438.36,51642.45,58571.31,50177.25,59703.43,73659.78,55632.5,124249.9,63796.81,236871.7,37371.57,137503.6,89229.48,38791.4,31195.2,29378,29196.1,112003.5,37172.94,51643.7,60774.58,41015.05,46649.55,600
1294_5.645_564.2419,829388.8,779438.3,1040029,1147107,600,600,909233.9,896785.3,600,738439.3,1038988,871315.6,1241983,1148335,1296637,1052116,1059450,1214842,1138946,569025.3,963534,1374705,1207030,927978,1140113,1159610,600,1045513,600,774532.8,1186507,1191795,1238567,1361123,951742.7,829388.8,779438.3,1040029,1147107,600,600,909233.9,896785.3,600,738439.3,1038988,871315.6,1241983,1148335,1296637,1052116,1059450,1214842,1138946,569025.3,963534,1374705,1207030,927978,1140113,1159610,600,1045513,600,774532.8,1186507,1191795,1238567,1361123,951742.7,829388.8,779438.3,1040029,1147107,600,600,909233.9,896785.3,600,738439.3,1038988,871315.6,1241983,1148335,1296637,1052116,1059450,1214842,1138946,569025.3,963534,1374705,1207030,927978,1140113,1159610,600,1045513,600,774532.8,1186507,1191795,1238567,1361123,951742.7
1295_5.604_564.242,600,600,600,600,294145.9,514842.8,600,600,267332.9,265521.7,600,600,600,600,600,600,600,600,600,600,600,600,600,348186.3,600,600,454388.3,600,350334.2,203339.7,600,600,600,600,600,600,600,600,600,294145.9,514842.8,600,600,267332.9,265521.7,600,600,600,600,600,600,600,600,600,600,600,600,600,348186.3,600,600,454388.3,600,350334.2,203339.7,600,600,600,600,600,600,600,600,600,294145.9,514842.8,600,600,267332.9,265521.7,600,600,600,600,600,600,600,600,600,600,600,600,600,348186.3,600,600,454388.3,600,350334.2,203339.7,600,600,600,600,600
1296_5.773_564.276,84632.2,600,600,94504.19,123734.3,190371.5,600,600,600,600,600,600,600,600,600,600,600,600,157161.7,95488.55,144749.7,600,600,600,87169.5,600,600,600,94264.3,600,600,600,600,128266.5,600,84632.2,600,600,94504.19,123734.3,190371.5,600,600,600,600,600,600,600,600,600,600,600,600,157161.7,95488.55,144749.7,600,600,600,87169.5,600,600,600,94264.3,600,600,600,600,128266.5,600,84632.2,600,600,94504.19,123734.3,190371.5,600,600,600,600,600,600,600,600,600,600,600,600,157161.7,95488.55,144749.7,600,600,600,87169.5,600,600,600,94264.3,600,600,600,600,128266.5,600
1297_5.836_564.2776,600,600,374241.8,600,600,600,376216.2,276389.9,244194,600,584593.6,345445.3,383632.4,551244.4,546762.8,393284.4,492237.9,406069.5,322359,460011.4,182229.3,575249.1,282235.5,600,373153.7,348252.4,505462.4,600,600,600,272182.8,470649.1,600,356061.8,386840.4,600,600,374241.8,600,600,600,376216.2,276389.9,244194,600,584593.6,345445.3,383632.4,551244.4,546762.8,393284.4,492237.9,406069.5,322359,460011.4,182229.3,575249.1,282235.5,600,373153.7,348252.4,505462.4,600,600,600,272182.8,470649.1,600,356061.8,386840.4,600,600,374241.8,600,600,600,376216.2,276389.9,244194,600,584593.6,345445.3,383632.4,551244.4,546762.8,393284.4,492237.9,406069.5,322359,460011.4,182229.3,575249.1,282235.5,600,373153.7,348252.4,505462.4,600,600,600,272182.8,470649.1,600,356061.8,386840.4
1298_0.752_565.8248,11905.67,42301.41,34360.19,86328.45,193183.3,24801.81,22855,17281.8,10368.13,13859.74,15167.16,24652.76,21780.46,10085.78,7079.428,12575.84,11912.08,37572.43,24391.88,24291,61812.59,37147.74,13494.65,12802.44,20029.03,26544.39,30536.78,24692.16,65799.34,34625.83,7028.056,5171.716,6555.995,40668.02,13091.33,11905.67,42301.41,34360.19,86328.45,193183.3,24801.81,22855,17281.8,10368.13,13859.74,15167.16,24652.76,21780.46,10085.78,7079.428,12575.84,11912.08,37572.43,24391.88,24291,61812.59,37147.74,13494.65,12802.44,20029.03,26544.39,30536.78,24692.16,65799.34,34625.83,7028.056,5171.716,6555.995,40668.02,13091.33,11905.67,42301.41,34360.19,86328.45,193183.3,24801.81,22855,17281.8,10368.13,13859.74,15167.16,24652.76,21780.46,10085.78,7079.428,12575.84,11912.08,37572.43,24391.88,24291,61812.59,37147.74,13494.65,12802.44,20029.03,26544.39,30536.78,24692.16,65799.34,34625.83,7028.056,5171.716,6555.995,40668.02,13091.33
1299_5.078_568.2731,53233.27,45312.48,49808.52,48209.2,600,40430.75,43949.43,600,45206.31,600,64655.88,35844.07,69108.38,74395.03,67335.31,600,69303.3,61606.81,70081.88,6308.501,12260,63048.22,45529.52,30323.16,62043.3,59037.02,8029.734,57396.45,4077.375,48321.43,600,69105.11,68805.77,65808.02,600,53233.27,45312.48,49808.52,48209.2,600,40430.75,43949.43,600,45206.31,600,64655.88,35844.07,69108.38,74395.03,67335.31,600,69303.3,61606.81,70081.88,6308.501,12260,63048.22,45529.52,30323.16,62043.3,59037.02,8029.734,57396.45,4077.375,48321.43,600,69105.11,68805.77,65808.02,600,53233.27,45312.48,49808.52,48209.2,600,40430.75,43949.43,600,45206.31,600,64655.88,35844.07,69108.38,74395.03,67335.31,600,69303.3,61606.81,70081.88,6308.501,12260,63048.22,45529.52,30323.16,62043.3,59037.02,8029.734,57396.45,4077.375,48321.43,600,69105.11,68805.77,65808.02,600
1300_7.711_572.2444,93511.52,18396.48,56208.4,35736.66,43094.73,69310.7,36648.45,12782.05,19658.46,11727.14,35443.12,15393.69,41766.71,36750.36,41973.32,12011.02,40195.8,44196.22,53289.95,38246.75,27162.48,39053.97,39306.89,33380.92,54405.22,16268.76,43953.05,11139.46,33499.54,79670.71,44297.34,40748.34,45064.02,38916.75,39044.41,93511.52,18396.48,56208.4,35736.66,43094.73,69310.7,36648.45,12782.05,19658.46,11727.14,35443.12,15393.69,41766.71,36750.36,41973.32,12011.02,40195.8,44196.22,53289.95,38246.75,27162.48,39053.97,39306.89,33380.92,54405.22,16268.76,43953.05,11139.46,33499.54,79670.71,44297.34,40748.34,45064.02,38916.75,39044.41,93511.52,18396.48,56208.4,35736.66,43094.73,69310.7,36648.45,12782.05,19658.46,11727.14,35443.12,15393.69,41766.71,36750.36,41973.32,12011.02,40195.8,44196.22,53289.95,38246.75,27162.48,39053.97,39306.89,33380.92,54405.22,16268.76,43953.05,11139.46,33499.54,79670.71,44297.34,40748.34,45064.02,38916.75,39044.41
1301_5.257_574.2249,23206.64,13327.16,21829.86,600,600,600,600,600,600,16769.01,13917.11,600,600,18536.2,600,600,30942.81,17456.19,600,8477.372,600,600,11065.45,7423.296,600,600,600,10039.84,17805.06,600,42389.27,600,600,600,600,23206.64,13327.16,21829.86,600,600,600,600,600,600,16769.01,13917.11,600,600,18536.2,600,600,30942.81,17456.19,600,8477.372,600,600,11065.45,7423.296,600,600,600,10039.84,17805.06,600,42389.27,600,600,600,600,23206.64,13327.16,21829.86,600,600,600,600,600,600,16769.01,13917.11,600,600,18536.2,600,600,30942.81,17456.19,600,8477.372,600,600,11065.45,7423.296,600,600,600,10039.84,17805.06,600,42389.27,600,600,600,600
1302_5.461_574.2592,69583.28,47301.69,98381.48,122222.9,600,600,105050,39246.63,72418.16,50091.16,24845.51,71180.3,27301.41,131410.3,107520,71111.8,115251.6,95884.79,87584.92,600,31843.32,151407.5,600,39354.03,97601.28,600,600,43851.93,26704.21,600,106335.6,137386,93961.59,95918.54,90260.49,69583.28,47301.69,98381.48,122222.9,600,600,105050,39246.63,72418.16,50091.16,24845.51,71180.3,27301.41,131410.3,107520,71111.8,115251.6,95884.79,87584.92,600,31843.32,151407.5,600,39354.03,97601.28,600,600,43851.93,26704.21,600,106335.6,137386,93961.59,95918.54,90260.49,69583.28,47301.69,98381.48,122222.9,600,600,105050,39246.63,72418.16,50091.16,24845.51,71180.3,27301.41,131410.3,107520,71111.8,115251.6,95884.79,87584.92,600,31843.32,151407.5,600,39354.03,97601.28,600,600,43851.93,26704.21,600,106335.6,137386,93961.59,95918.54,90260.49
1303_6.503_574.2606,600,600,57143.97,71221.99,600,600,600,50677.24,600,600,75325.02,600,63652.19,2709.911,65774.41,600,57443.83,330952.6,600,600,600,9210.406,600,320048.1,600,131449.6,88449.07,600,47240.9,600,600,5765.672,600,600,42236.73,600,600,57143.97,71221.99,600,600,600,50677.24,600,600,75325.02,600,63652.19,2709.911,65774.41,600,57443.83,330952.6,600,600,600,9210.406,600,320048.1,600,131449.6,88449.07,600,47240.9,600,600,5765.672,600,600,42236.73,600,600,57143.97,71221.99,600,600,600,50677.24,600,600,75325.02,600,63652.19,2709.911,65774.41,600,57443.83,330952.6,600,600,600,9210.406,600,320048.1,600,131449.6,88449.07,600,47240.9,600,600,5765.672,600,600,42236.73
1304_5.697_576.278,41511.78,600,45521.27,40476.57,335496.7,600,600,600,34173.36,600,45651.37,31665.96,49992.29,31336.35,50326.03,63693.27,51609.55,36020.95,49260.2,600,600,64347.3,600,39019.4,44805.08,46455.09,600,600,600,600,39039.49,47087.26,62225.55,66163.7,38595.01,41511.78,600,45521.27,40476.57,335496.7,600,600,600,34173.36,600,45651.37,31665.96,49992.29,31336.35,50326.03,63693.27,51609.55,36020.95,49260.2,600,600,64347.3,600,39019.4,44805.08,46455.09,600,600,600,600,39039.49,47087.26,62225.55,66163.7,38595.01,41511.78,600,45521.27,40476.57,335496.7,600,600,600,34173.36,600,45651.37,31665.96,49992.29,31336.35,50326.03,63693.27,51609.55,36020.95,49260.2,600,600,64347.3,600,39019.4,44805.08,46455.09,600,600,600,600,39039.49,47087.26,62225.55,66163.7,38595.01
1305_6.041_576.2782,1268136,789175.8,1279670,1318625,704824.1,1271157,1274445,1072404,600,944192.9,1553579,1006492,1445841,1665835,1304615,1157148,1383188,1517233,1460013,1675519,1257100,1645526,1048210,600,1336355,1335530,600,1191548,1764757,600,600,1575278,1354737,1497857,1139803,1268136,789175.8,1279670,1318625,704824.1,1271157,1274445,1072404,600,944192.9,1553579,1006492,1445841,1665835,1304615,1157148,1383188,1517233,1460013,1675519,1257100,1645526,1048210,600,1336355,1335530,600,1191548,1764757,600,600,1575278,1354737,1497857,1139803,1268136,789175.8,1279670,1318625,704824.1,1271157,1274445,1072404,600,944192.9,1553579,1006492,1445841,1665835,1304615,1157148,1383188,1517233,1460013,1675519,1257100,1645526,1048210,600,1336355,1335530,600,1191548,1764757,600,600,1575278,1354737,1497857,1139803
1306_5.326_576.2855,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1449097,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1449097,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1449097,600,600,600,600
1307_6.145_576.2914,600,600,600,600,600,600,600,600,1216730,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1756317,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1216730,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1756317,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1216730,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1756317,600,600,600,600,600,600,600,600
